district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Haute-Normandie,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1277849,1055027,15243,1070270,83.76,52261,0,first,,,Nicolas Sarkozy,Nicolas Sarkozy,309925,Region,FR2007-REG-23,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Haute-Normandie,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1277849,1055027,15243,1070270,83.76,52261,0,first,,,Ségolène Royal,Ségolène Royal,257664,Region,FR2007-REG-23,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Haute-Normandie,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1277849,1055027,15243,1070270,83.76,52261,0,first,,,François Bayrou,François Bayrou,184625,Region,FR2007-REG-23,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Haute-Normandie,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1277849,1055027,15243,1070270,83.76,52261,0,first,,,Jean-Marie Le Pen,Jean-Marie Le Pen,126795,Region,FR2007-REG-23,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Haute-Normandie,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1277849,1055027,15243,1070270,83.76,52261,0,first,,,Olivier Besancenot,Olivier Besancenot,58312,Region,FR2007-REG-23,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Haute-Normandie,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1277849,1055027,15243,1070270,83.76,52261,0,first,,,Marie-George Buffet,Marie-George Buffet,26376,Region,FR2007-REG-23,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Haute-Normandie,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1277849,1055027,15243,1070270,83.76,52261,0,first,,,Philippe de Villiers,Philippe de Villiers,25692,Region,FR2007-REG-23,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Haute-Normandie,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1277849,1055027,15243,1070270,83.76,52261,0,first,,,Arlette Laguiller,Arlette Laguiller,20048,Region,FR2007-REG-23,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Haute-Normandie,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1277849,1055027,15243,1070270,83.76,52261,0,first,,,Dominique Voynet,Dominique Voynet,15706,Region,FR2007-REG-23,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Haute-Normandie,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1277849,1055027,15243,1070270,83.76,52261,0,first,,,Frédéric Nihous,Frédéric Nihous,13717,Region,FR2007-REG-23,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Haute-Normandie,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1277849,1055027,15243,1070270,83.76,52261,0,first,,,José Bové,José Bové,12563,Region,FR2007-REG-23,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Haute-Normandie,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1277849,1055027,15243,1070270,83.76,52261,0,first,,,Gérard Schivardi,Gérard Schivardi,3604,Region,FR2007-REG-23,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Centre,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1781364,1482534,23063,1505597,84.52,115075,0,first,,,Nicolas Sarkozy,Nicolas Sarkozy,460429,Region,FR2007-REG-24,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Centre,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1781364,1482534,23063,1505597,84.52,115075,0,first,,,Ségolène Royal,Ségolène Royal,345354,Region,FR2007-REG-24,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Centre,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1781364,1482534,23063,1505597,84.52,115075,0,first,,,François Bayrou,François Bayrou,278177,Region,FR2007-REG-24,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Centre,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1781364,1482534,23063,1505597,84.52,115075,0,first,,,Jean-Marie Le Pen,Jean-Marie Le Pen,168912,Region,FR2007-REG-24,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Centre,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1781364,1482534,23063,1505597,84.52,115075,0,first,,,Olivier Besancenot,Olivier Besancenot,65347,Region,FR2007-REG-24,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Centre,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1781364,1482534,23063,1505597,84.52,115075,0,first,,,Philippe de Villiers,Philippe de Villiers,45720,Region,FR2007-REG-24,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
Centre,https://www.data.gouv.fr/datasets/election-presidentielle-2007-resultats-572120,https://www.data.gouv.fr/datasets/contours-administratifs,Nicolas Sarkozy,Nicolas Sarkozy,1781364,1482534,23063,1505597,84.52,115075,0,first,,,Marie-George Buffet,Marie-George Buffet,30003,Region,FR2007-REG-24,official,Definitive Ministry of the Interior result. Overseas areas are shown in compact schematic insets; inset positions and scales are not geographic.
