district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Kujawsko-Pomorskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1580004,961460,2814,964274,61.03,57229,1,first,,,Rafał Trzaskowski,Rafał Trzaskowski,322961,Poland,PL61,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Kujawsko-Pomorskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1580004,961460,2814,964274,61.03,57229,1,first,,,Szymon Hołownia,Szymon Hołownia,148597,Poland,PL61,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Kujawsko-Pomorskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1580004,961460,2814,964274,61.03,57229,1,first,,,Krzysztof Bosak,Krzysztof Bosak,56532,Poland,PL61,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Kujawsko-Pomorskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1580004,961460,2814,964274,61.03,57229,1,first,,,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz,24234,Poland,PL61,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Kujawsko-Pomorskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1580004,961460,2814,964274,61.03,57229,1,first,,,Robert Biedroń,Robert Biedroń,22250,Poland,PL61,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Kujawsko-Pomorskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1580004,961460,2814,964274,61.03,57229,1,first,,,Stanisław Żółtek,Stanisław Żółtek,2083,Poland,PL61,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Kujawsko-Pomorskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1580004,961460,2814,964274,61.03,57229,1,first,,,Marek Jakubiak,Marek Jakubiak,1310,Poland,PL61,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Kujawsko-Pomorskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1580004,961460,2814,964274,61.03,57229,1,first,,,Paweł Tanajno,Paweł Tanajno,1309,Poland,PL61,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Kujawsko-Pomorskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1580004,961460,2814,964274,61.03,57229,1,first,,,Waldemar Witkowski,Waldemar Witkowski,1082,Poland,PL61,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Kujawsko-Pomorskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1580004,961460,2814,964274,61.03,57229,1,first,,,Mirosław Piotrowski,Mirosław Piotrowski,912,Poland,PL61,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubelskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1679712,1043342,3415,1046757,62.32,389663,1,first,,,Andrzej Duda,Andrzej Duda,591234,Poland,PL81,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubelskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1679712,1043342,3415,1046757,62.32,389663,1,first,,,Rafał Trzaskowski,Rafał Trzaskowski,201571,Poland,PL81,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubelskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1679712,1043342,3415,1046757,62.32,389663,1,first,,,Szymon Hołownia,Szymon Hołownia,108987,Poland,PL81,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubelskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1679712,1043342,3415,1046757,62.32,389663,1,first,,,Krzysztof Bosak,Krzysztof Bosak,83403,Poland,PL81,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubelskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1679712,1043342,3415,1046757,62.32,389663,1,first,,,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz,31756,Poland,PL81,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubelskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1679712,1043342,3415,1046757,62.32,389663,1,first,,,Robert Biedroń,Robert Biedroń,17010,Poland,PL81,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubelskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1679712,1043342,3415,1046757,62.32,389663,1,first,,,Stanisław Żółtek,Stanisław Żółtek,2561,Poland,PL81,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubelskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1679712,1043342,3415,1046757,62.32,389663,1,first,,,Mirosław Piotrowski,Mirosław Piotrowski,2268,Poland,PL81,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubelskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1679712,1043342,3415,1046757,62.32,389663,1,first,,,Marek Jakubiak,Marek Jakubiak,2095,Poland,PL81,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubelskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1679712,1043342,3415,1046757,62.32,389663,1,first,,,Paweł Tanajno,Paweł Tanajno,1430,Poland,PL81,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubelskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Andrzej Duda,Andrzej Duda,1679712,1043342,3415,1046757,62.32,389663,1,first,,,Waldemar Witkowski,Waldemar Witkowski,1027,Poland,PL81,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubuskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Rafał Trzaskowski,Rafał Trzaskowski,773526,473449,1542,474991,61.41,13000,1,first,,,Rafał Trzaskowski,Rafał Trzaskowski,174894,Poland,PL43,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubuskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Rafał Trzaskowski,Rafał Trzaskowski,773526,473449,1542,474991,61.41,13000,1,first,,,Andrzej Duda,Andrzej Duda,161894,Poland,PL43,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubuskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Rafał Trzaskowski,Rafał Trzaskowski,773526,473449,1542,474991,61.41,13000,1,first,,,Szymon Hołownia,Szymon Hołownia,84590,Poland,PL43,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubuskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Rafał Trzaskowski,Rafał Trzaskowski,773526,473449,1542,474991,61.41,13000,1,first,,,Krzysztof Bosak,Krzysztof Bosak,28743,Poland,PL43,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubuskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Rafał Trzaskowski,Rafał Trzaskowski,773526,473449,1542,474991,61.41,13000,1,first,,,Robert Biedroń,Robert Biedroń,10413,Poland,PL43,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubuskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Rafał Trzaskowski,Rafał Trzaskowski,773526,473449,1542,474991,61.41,13000,1,first,,,Władysław Kosiniak-Kamysz,Władysław Kosiniak-Kamysz,9583,Poland,PL43,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubuskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Rafał Trzaskowski,Rafał Trzaskowski,773526,473449,1542,474991,61.41,13000,1,first,,,Stanisław Żółtek,Stanisław Żółtek,913,Poland,PL43,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubuskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Rafał Trzaskowski,Rafał Trzaskowski,773526,473449,1542,474991,61.41,13000,1,first,,,Paweł Tanajno,Paweł Tanajno,756,Poland,PL43,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubuskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Rafał Trzaskowski,Rafał Trzaskowski,773526,473449,1542,474991,61.41,13000,1,first,,,Marek Jakubiak,Marek Jakubiak,686,Poland,PL43,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubuskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Rafał Trzaskowski,Rafał Trzaskowski,773526,473449,1542,474991,61.41,13000,1,first,,,Waldemar Witkowski,Waldemar Witkowski,572,Poland,PL43,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
Lubuskie,https://prezydent20200628.pkw.gov.pl/prezydent20200628/pl/dane_w_arkuszach,https://gisco-services.ec.europa.eu/distribution/v2/nuts/geojson/NUTS_RG_03M_2021_4326_LEVL_2.geojson,Rafał Trzaskowski,Rafał Trzaskowski,773526,473449,1542,474991,61.41,13000,1,first,,,Mirosław Piotrowski,Mirosław Piotrowski,405,Poland,PL43,official,Official PKW totals by voivodeship; local leaders do not elect separate presidents.
