district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Massachusetts,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,3080985,0,3080985,0,795243,0,first,,,Barack Obama,Democratic,1904097,United States,US-STATE-MA,official,Official statewide presidential totals compiled by the Federal Election Commission.
Massachusetts,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,3080985,0,3080985,0,795243,0,first,,,John McCain,Republican,1108854,United States,US-STATE-MA,official,Official statewide presidential totals compiled by the Federal Election Commission.
Massachusetts,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,3080985,0,3080985,0,795243,0,first,,,Other candidates,Other,68034,United States,US-STATE-MA,official,Official statewide presidential totals compiled by the Federal Election Commission.
Michigan,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,5001766,0,5001766,0,823940,0,first,,,Barack Obama,Democratic,2872579,United States,US-STATE-MI,official,Official statewide presidential totals compiled by the Federal Election Commission.
Michigan,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,5001766,0,5001766,0,823940,0,first,,,John McCain,Republican,2048639,United States,US-STATE-MI,official,Official statewide presidential totals compiled by the Federal Election Commission.
Michigan,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,5001766,0,5001766,0,823940,0,first,,,Other candidates,Other,80548,United States,US-STATE-MI,official,Official statewide presidential totals compiled by the Federal Election Commission.
Minnesota,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,2910369,0,2910369,0,297945,0,first,,,Barack Obama,Democratic,1573354,United States,US-STATE-MN,official,Official statewide presidential totals compiled by the Federal Election Commission.
Minnesota,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,2910369,0,2910369,0,297945,0,first,,,John McCain,Republican,1275409,United States,US-STATE-MN,official,Official statewide presidential totals compiled by the Federal Election Commission.
Minnesota,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,2910369,0,2910369,0,297945,0,first,,,Other candidates,Other,61606,United States,US-STATE-MN,official,Official statewide presidential totals compiled by the Federal Election Commission.
Mississippi,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,1289865,0,1289865,0,169935,0,first,,,Barack Obama,Democratic,554662,United States,US-STATE-MS,official,Official statewide presidential totals compiled by the Federal Election Commission.
Mississippi,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,1289865,0,1289865,0,169935,0,first,,,John McCain,Republican,724597,United States,US-STATE-MS,official,Official statewide presidential totals compiled by the Federal Election Commission.
Mississippi,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,1289865,0,1289865,0,169935,0,first,,,Other candidates,Other,10606,United States,US-STATE-MS,official,Official statewide presidential totals compiled by the Federal Election Commission.
Missouri,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,2925205,0,2925205,0,3903,0,first,,,Barack Obama,Democratic,1441911,United States,US-STATE-MO,official,Official statewide presidential totals compiled by the Federal Election Commission.
Missouri,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,2925205,0,2925205,0,3903,0,first,,,John McCain,Republican,1445814,United States,US-STATE-MO,official,Official statewide presidential totals compiled by the Federal Election Commission.
Missouri,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,2925205,0,2925205,0,3903,0,first,,,Other candidates,Other,37480,United States,US-STATE-MO,official,Official statewide presidential totals compiled by the Federal Election Commission.
Montana,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,490302,0,490302,0,11096,0,first,,,Barack Obama,Democratic,231667,United States,US-STATE-MT,official,Official statewide presidential totals compiled by the Federal Election Commission.
Montana,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,490302,0,490302,0,11096,0,first,,,John McCain,Republican,242763,United States,US-STATE-MT,official,Official statewide presidential totals compiled by the Federal Election Commission.
Montana,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,490302,0,490302,0,11096,0,first,,,Other candidates,Other,15872,United States,US-STATE-MT,official,Official statewide presidential totals compiled by the Federal Election Commission.
Nebraska,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,801281,0,801281,0,119660,0,first,,,Barack Obama,Democratic,333319,United States,US-STATE-NE,official,Official statewide presidential totals compiled by the Federal Election Commission.
Nebraska,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,801281,0,801281,0,119660,0,first,,,John McCain,Republican,452979,United States,US-STATE-NE,official,Official statewide presidential totals compiled by the Federal Election Commission.
Nebraska,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,801281,0,801281,0,119660,0,first,,,Other candidates,Other,14983,United States,US-STATE-NE,official,Official statewide presidential totals compiled by the Federal Election Commission.
Nevada,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,967848,0,967848,0,120909,0,first,,,Barack Obama,Democratic,533736,United States,US-STATE-NV,official,Official statewide presidential totals compiled by the Federal Election Commission.
Nevada,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,967848,0,967848,0,120909,0,first,,,John McCain,Republican,412827,United States,US-STATE-NV,official,Official statewide presidential totals compiled by the Federal Election Commission.
Nevada,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,967848,0,967848,0,120909,0,first,,,Other candidates,Other,21285,United States,US-STATE-NV,official,Official statewide presidential totals compiled by the Federal Election Commission.
New Hampshire,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,710970,0,710970,0,68292,0,first,,,Barack Obama,Democratic,384826,United States,US-STATE-NH,official,Official statewide presidential totals compiled by the Federal Election Commission.
New Hampshire,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,710970,0,710970,0,68292,0,first,,,John McCain,Republican,316534,United States,US-STATE-NH,official,Official statewide presidential totals compiled by the Federal Election Commission.
New Hampshire,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,710970,0,710970,0,68292,0,first,,,Other candidates,Other,9610,United States,US-STATE-NH,official,Official statewide presidential totals compiled by the Federal Election Commission.
New Jersey,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,3868237,0,3868237,0,602215,0,first,,,Barack Obama,Democratic,2215422,United States,US-STATE-NJ,official,Official statewide presidential totals compiled by the Federal Election Commission.
New Jersey,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,3868237,0,3868237,0,602215,0,first,,,John McCain,Republican,1613207,United States,US-STATE-NJ,official,Official statewide presidential totals compiled by the Federal Election Commission.
New Jersey,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,3868237,0,3868237,0,602215,0,first,,,Other candidates,Other,39608,United States,US-STATE-NJ,official,Official statewide presidential totals compiled by the Federal Election Commission.
New Mexico,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,830158,0,830158,0,125590,0,first,,,Barack Obama,Democratic,472422,United States,US-STATE-NM,official,Official statewide presidential totals compiled by the Federal Election Commission.
New Mexico,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,830158,0,830158,0,125590,0,first,,,John McCain,Republican,346832,United States,US-STATE-NM,official,Official statewide presidential totals compiled by the Federal Election Commission.
New Mexico,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,830158,0,830158,0,125590,0,first,,,Other candidates,Other,10904,United States,US-STATE-NM,official,Official statewide presidential totals compiled by the Federal Election Commission.
New York,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,7640931,0,7640931,0,2052174,0,first,,,Barack Obama,Democratic,4804945,United States,US-STATE-NY,official,Official statewide presidential totals compiled by the Federal Election Commission.
New York,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,7640931,0,7640931,0,2052174,0,first,,,John McCain,Republican,2752771,United States,US-STATE-NY,official,Official statewide presidential totals compiled by the Federal Election Commission.
New York,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,7640931,0,7640931,0,2052174,0,first,,,Other candidates,Other,83215,United States,US-STATE-NY,official,Official statewide presidential totals compiled by the Federal Election Commission.
North Carolina,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,4310789,0,4310789,0,14177,0,first,,,Barack Obama,Democratic,2142651,United States,US-STATE-NC,official,Official statewide presidential totals compiled by the Federal Election Commission.
North Carolina,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,4310789,0,4310789,0,14177,0,first,,,John McCain,Republican,2128474,United States,US-STATE-NC,official,Official statewide presidential totals compiled by the Federal Election Commission.
North Carolina,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,4310789,0,4310789,0,14177,0,first,,,Other candidates,Other,39664,United States,US-STATE-NC,official,Official statewide presidential totals compiled by the Federal Election Commission.
North Dakota,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,316621,0,316621,0,27323,0,first,,,Barack Obama,Democratic,141278,United States,US-STATE-ND,official,Official statewide presidential totals compiled by the Federal Election Commission.
North Dakota,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,316621,0,316621,0,27323,0,first,,,John McCain,Republican,168601,United States,US-STATE-ND,official,Official statewide presidential totals compiled by the Federal Election Commission.
North Dakota,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,316621,0,316621,0,27323,0,first,,,Other candidates,Other,6742,United States,US-STATE-ND,official,Official statewide presidential totals compiled by the Federal Election Commission.
Ohio,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,5708350,0,5708350,0,262224,0,first,,,Barack Obama,Democratic,2940044,United States,US-STATE-OH,official,Official statewide presidential totals compiled by the Federal Election Commission.
Ohio,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,5708350,0,5708350,0,262224,0,first,,,John McCain,Republican,2677820,United States,US-STATE-OH,official,Official statewide presidential totals compiled by the Federal Election Commission.
Ohio,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,5708350,0,5708350,0,262224,0,first,,,Other candidates,Other,90486,United States,US-STATE-OH,official,Official statewide presidential totals compiled by the Federal Election Commission.
Oklahoma,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,1462661,0,1462661,0,457669,0,first,,,Barack Obama,Democratic,502496,United States,US-STATE-OK,official,Official statewide presidential totals compiled by the Federal Election Commission.
Oklahoma,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,1462661,0,1462661,0,457669,0,first,,,John McCain,Republican,960165,United States,US-STATE-OK,official,Official statewide presidential totals compiled by the Federal Election Commission.
Oklahoma,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,John McCain,Republican,0,1462661,0,1462661,0,457669,0,first,,,Other candidates,Other,0,United States,US-STATE-OK,official,Official statewide presidential totals compiled by the Federal Election Commission.
Oregon,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,1827864,0,1827864,0,298816,0,first,,,Barack Obama,Democratic,1037291,United States,US-STATE-OR,official,Official statewide presidential totals compiled by the Federal Election Commission.
Oregon,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Barack Obama,Democratic,0,1827864,0,1827864,0,298816,0,first,,,John McCain,Republican,738475,United States,US-STATE-OR,official,Official statewide presidential totals compiled by the Federal Election Commission.
