district,district_url,distribution_url,elected_member,elected_party,elected_members,elected_parties,members_to_elect,quota,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
New South Wales,https://results.aec.gov.au/31496/Website/SenateStateFirstPrefsByGroup-31496-NSW.htm,https://results.aec.gov.au/31496/Website/External/SenateStateDop-31496-NSW.pdf,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,6,712405,5692270,4986832,232509,5219341,91.69,408773,0,first,,,Labor,Labor,1876713,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/31496/Website/SenateStateFirstPrefsByGroup-31496-NSW.htm,https://results.aec.gov.au/31496/Website/External/SenateStateDop-31496-NSW.pdf,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,6,712405,5692270,4986832,232509,5219341,91.69,408773,0,first,,,Liberal & Nationals,Liberal & Nationals,1467940,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/31496/Website/SenateStateFirstPrefsByGroup-31496-NSW.htm,https://results.aec.gov.au/31496/Website/External/SenateStateDop-31496-NSW.pdf,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,6,712405,5692270,4986832,232509,5219341,91.69,408773,0,first,,,The Greens,The Greens,557610,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/31496/Website/SenateStateFirstPrefsByGroup-31496-NSW.htm,https://results.aec.gov.au/31496/Website/External/SenateStateDop-31496-NSW.pdf,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,6,712405,5692270,4986832,232509,5219341,91.69,408773,0,first,,,Pauline Hanson's One Nation,Pauline Hanson's One Nation,302438,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/31496/Website/SenateStateFirstPrefsByGroup-31496-NSW.htm,https://results.aec.gov.au/31496/Website/External/SenateStateDop-31496-NSW.pdf,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,6,712405,5692270,4986832,232509,5219341,91.69,408773,0,first,,,Legalise Cannabis Party,Legalise Cannabis Party,174280,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/31496/Website/SenateStateFirstPrefsByGroup-31496-NSW.htm,https://results.aec.gov.au/31496/Website/External/SenateStateDop-31496-NSW.pdf,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,6,712405,5692270,4986832,232509,5219341,91.69,408773,0,first,,,Trumpet of Patriots,Trumpet of Patriots,119670,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/31496/Website/SenateStateFirstPrefsByGroup-31496-NSW.htm,https://results.aec.gov.au/31496/Website/External/SenateStateDop-31496-NSW.pdf,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,6,712405,5692270,4986832,232509,5219341,91.69,408773,0,first,,,Libertarian / HEART / Gerard Rennick People First,Libertarian / HEART / Gerard Rennick People First,92892,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/31496/Website/SenateStateFirstPrefsByGroup-31496-NSW.htm,https://results.aec.gov.au/31496/Website/External/SenateStateDop-31496-NSW.pdf,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,6,712405,5692270,4986832,232509,5219341,91.69,408773,0,first,,,Family First,Family First,80560,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/31496/Website/SenateStateFirstPrefsByGroup-31496-NSW.htm,https://results.aec.gov.au/31496/Website/External/SenateStateDop-31496-NSW.pdf,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,6,712405,5692270,4986832,232509,5219341,91.69,408773,0,first,,,Animal Justice Party,Animal Justice Party,60029,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/31496/Website/SenateStateFirstPrefsByGroup-31496-NSW.htm,https://results.aec.gov.au/31496/Website/External/SenateStateDop-31496-NSW.pdf,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,"SHELDON, Tony; BRAGG, Andrew; AYRES, Tim; COLLINS, Jessica; FARUQI, Mehreen; STACEY, Warwick",Labor; Liberal; Labor; Liberal; The Greens; Pauline Hanson's One Nation,6,712405,5692270,4986832,232509,5219341,91.69,408773,0,first,,,Australian Christians,Australian Christians,59146,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
