district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,contest_status,result_note,mandate_awarded
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,first,,,CDU,CDU,68120,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,first,,,SPD,SPD,47711,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,first,,,GRÜNE,GRÜNE,17911,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,first,,,FDP,FDP,11147,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,first,,,DIE LINKE,DIE LINKE,12144,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,first,,,AfD,AfD,10583,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,first,,,FREIE WÄHLER,FREIE WÄHLER,1947,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,first,,,EB: Krüger-Winands,Independent,755,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,party_vote,,,CDU,CDU,58320,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,party_vote,,,SPD,SPD,40388,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,party_vote,,,GRÜNE,GRÜNE,22304,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,party_vote,,,FDP,FDP,18955,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,party_vote,,,DIE LINKE,DIE LINKE,14002,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,party_vote,,,AfD,AfD,11653,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,party_vote,,,NPD,NPD,349,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,party_vote,,,FREIE WÄHLER,FREIE WÄHLER,1195,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,party_vote,,,MLPD,MLPD,59,Schleswig-Holstein,official,,True
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2017/ergebnisse.html,CDU,CDU,228471,170318,1596,171914,75.245436,85160,0,party_vote,,,BGE,BGE,843,Schleswig-Holstein,official,,True
