district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Sumatera Selatan,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,0,4159212,0,4159212,0,105114,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,2132163,Indonesia,6,official,
Sumatera Selatan,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,0,4159212,0,4159212,0,105114,0,first,,,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,2027049,Indonesia,6,official,
Bengkulu,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,956842,0,956842,0,90496,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,433173,Indonesia,7,official,
Bengkulu,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,956842,0,956842,0,90496,0,first,,,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,523669,Indonesia,7,official,
Lampung,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,4333813,0,4333813,0,265965,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,2033924,Indonesia,8,official,
Lampung,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,4333813,0,4333813,0,265965,0,first,,,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,2299889,Indonesia,8,official,
Kepulauan Bangka Belitung,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,613065,0,613065,0,211653,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,200706,Indonesia,9,official,
Kepulauan Bangka Belitung,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,613065,0,613065,0,211653,0,first,,,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,412359,Indonesia,9,official,
Kepulauan Riau,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,824727,0,824727,0,158911,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,332908,Indonesia,10,official,
Kepulauan Riau,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,824727,0,824727,0,158911,0,first,,,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,491819,Indonesia,10,official,
DKI Jakarta,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,5387958,0,5387958,0,331830,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,2528064,Indonesia,11,official,
DKI Jakarta,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,5387958,0,5387958,0,331830,0,first,,,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,2859894,Indonesia,11,official,
Jawa Barat,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,0,23697696,0,23697696,0,4637066,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,14167381,Indonesia,12,official,
Jawa Barat,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,0,23697696,0,23697696,0,4637066,0,first,,,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,9530315,Indonesia,12,official,
Jawa Tengah,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,19445260,0,19445260,0,6473820,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,6485720,Indonesia,13,official,
Jawa Tengah,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,19445260,0,19445260,0,6473820,0,first,,,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,12959540,Indonesia,13,official,
DI Yogyakarta,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,2211591,0,2211591,0,256907,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,977342,Indonesia,14,official,
DI Yogyakarta,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,2211591,0,2211591,0,256907,0,first,,,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,1234249,Indonesia,14,official,
Jawa Timur,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,https://jdih.kpu.go.id/keputusan-kpu/detail/SmQxz_RkBop_QwpyyOJ79XJCcHIrTThRc005OXU3dWppcjBMWlE9PQ,Joko Widodo–Jusuf Kalla,Jokowi–Kalla,0,21946401,0,21946401,0,1392225,0,first,,,Prabowo Subianto–Hatta Rajasa,Prabowo–Hatta,10277088,Indonesia,15,official,
