district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status
Avalon,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Ken McDonald,Liberal,70903,37144,273,37417,52.77,18573,0,first,,,Ken McDonald,Liberal,18608,Newfoundland and Labrador,10001,official
Avalon,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Ken McDonald,Liberal,70903,37144,273,37417,52.77,18573,0,first,,,Matthew Chapman,Conservative,12738,Newfoundland and Labrador,10001,official
Avalon,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Ken McDonald,Liberal,70903,37144,273,37417,52.77,18573,0,first,,,Carolyn Davis,NDP,5151,Newfoundland and Labrador,10001,official
Avalon,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Ken McDonald,Liberal,70903,37144,273,37417,52.77,18573,0,first,,,Lainie Stewart,People's Party,647,Newfoundland and Labrador,10001,official
Bonavista—Burin—Trinity,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Churence Rogers,Liberal,59605,29991,482,30473,51.12,14996,0,first,,,Churence Rogers,Liberal,13972,Newfoundland and Labrador,10002,official
Bonavista—Burin—Trinity,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Churence Rogers,Liberal,59605,29991,482,30473,51.12,14996,0,first,,,Sharon Vokey,Conservative,12278,Newfoundland and Labrador,10002,official
Bonavista—Burin—Trinity,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Churence Rogers,Liberal,59605,29991,482,30473,51.12,14996,0,first,,,Anne Marie Anonsen,NDP,2484,Newfoundland and Labrador,10002,official
Bonavista—Burin—Trinity,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Churence Rogers,Liberal,59605,29991,482,30473,51.12,14996,0,first,,,Linda Hogan,People's Party,1257,Newfoundland and Labrador,10002,official
Coast of Bays—Central—Notre Dame,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Clifford Small,Conservative,63631,31834,695,32529,51.12,15918,0,first,,,Clifford Small,Conservative,14927,Newfoundland and Labrador,10003,official
Coast of Bays—Central—Notre Dame,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Clifford Small,Conservative,63631,31834,695,32529,51.12,15918,0,first,,,Scott Simms,Liberal,14646,Newfoundland and Labrador,10003,official
Coast of Bays—Central—Notre Dame,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Clifford Small,Conservative,63631,31834,695,32529,51.12,15918,0,first,,,Jamie Ruby,NDP,2261,Newfoundland and Labrador,10003,official
Labrador,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Yvonne Jones,Liberal,20239,9653,94,9747,48.16,4827,0,first,,,Yvonne Jones,Liberal,4119,Newfoundland and Labrador,10004,official
Labrador,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Yvonne Jones,Liberal,20239,9653,94,9747,48.16,4827,0,first,,,Shane Dumaresque,Conservative,2930,Newfoundland and Labrador,10004,official
Labrador,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Yvonne Jones,Liberal,20239,9653,94,9747,48.16,4827,0,first,,,Amy Norman,NDP,2297,Newfoundland and Labrador,10004,official
Labrador,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Yvonne Jones,Liberal,20239,9653,94,9747,48.16,4827,0,first,,,Shannon Champion,People's Party,307,Newfoundland and Labrador,10004,official
Long Range Mountains,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Gudie Hutchings,Liberal,70208,36447,461,36908,52.57,18224,0,first,,,Gudie Hutchings,Liberal,16178,Newfoundland and Labrador,10005,official
Long Range Mountains,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Gudie Hutchings,Liberal,70208,36447,461,36908,52.57,18224,0,first,,,Carol Anstey,Conservative,14344,Newfoundland and Labrador,10005,official
Long Range Mountains,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Gudie Hutchings,Liberal,70208,36447,461,36908,52.57,18224,0,first,,,Kaila Mintz,NDP,4347,Newfoundland and Labrador,10005,official
Long Range Mountains,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Gudie Hutchings,Liberal,70208,36447,461,36908,52.57,18224,0,first,,,Darrell Shelley,People's Party,1578,Newfoundland and Labrador,10005,official
St. John's East,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Joanne Thompson,Liberal,66963,38171,296,38467,57.45,19086,0,first,,,Joanne Thompson,Liberal,17239,Newfoundland and Labrador,10006,official
St. John's East,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Joanne Thompson,Liberal,66963,38171,296,38467,57.45,19086,0,first,,,Mary Shortall,NDP,13090,Newfoundland and Labrador,10006,official
St. John's East,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Joanne Thompson,Liberal,66963,38171,296,38467,57.45,19086,0,first,,,Glenn Etchegary,Conservative,7119,Newfoundland and Labrador,10006,official
St. John's East,https://www.elections.ca/res/rep/off/ovr2021app/home.html,https://www.elections.ca/res/rep/off/ovr2021app/home.html,Joanne Thompson,Liberal,66963,38171,296,38467,57.45,19086,0,first,,,Dana Metcalfe,People's Party,723,Newfoundland and Labrador,10006,official
