district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Adelaide,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"HOOD, Lucy",Australian Labor Party,27331,23323,569,23892,87.42,11662,"HOOD, Lucy",Australian Labor Party,9477,"HOOD, Lucy",Australian Labor Party,13097,"SANDERSON, Rachel",Liberal Party,10226,2871,False,3620
Badcoe,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"STINSON, Jayne",Australian Labor Party,27481,23562,931,24493,89.13,11782,"STINSON, Jayne",Australian Labor Party,11780,"STINSON, Jayne",Australian Labor Party,15263,"DODD, Jordan",Liberal Party,8299,6964,False,3483
Black,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"SPEIRS, David",Liberal Party,26437,23684,643,24327,92.02,11843,"SPEIRS, David",Liberal Party,11862,"SPEIRS, David",Liberal Party,12493,"DIGHTON, Alex",Australian Labor Party,11191,1302,False,631
Bragg,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"CHAPMAN, Vickie",Liberal Party,26709,23719,438,24157,90.45,11860,"CHAPMAN, Vickie",Liberal Party,12751,"CHAPMAN, Vickie",Liberal Party,13796,"SARRE, Rick",Australian Labor Party,9923,3873,False,1045
Chaffey,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"WHETSTONE, Tim",Liberal Party,25807,22057,1034,23091,89.48,11029,"WHETSTONE, Tim",Liberal Party,12050,"WHETSTONE, Tim",Liberal Party,14820,"SUTTON, Joanne",Australian Labor Party,7237,7583,False,2770
Cheltenham,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"SZAKACS, Joe",Australian Labor Party,27621,23448,888,24336,88.11,11725,"SZAKACS, Joe",Australian Labor Party,13027,"SZAKACS, Joe",Australian Labor Party,16194,"RIX, Shane",Liberal Party,7254,8940,False,3167
Colton,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"COWDREY, Matt",Liberal Party,28379,25207,657,25864,91.14,12604,"COWDREY, Matt",Liberal Party,13171,"COWDREY, Matt",Liberal Party,13816,"ALEXANDRIDES, Paul",Australian Labor Party,11391,2425,False,645
Croydon,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"MALINAUSKAS, Peter",Australian Labor Party,28182,23148,800,23948,84.98,11575,"MALINAUSKAS, Peter",Australian Labor Party,14064,"MALINAUSKAS, Peter",Australian Labor Party,17305,"SANTAGATA, Michael",Liberal Party,5843,11462,False,3241
Davenport,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"THOMPSON, Erin",Australian Labor Party,26835,24092,595,24687,92.0,12047,"MURRAY, Steve",Liberal Party,9928,"THOMPSON, Erin",Australian Labor Party,12870,"MURRAY, Steve",Liberal Party,11222,1648,True,3035
Dunstan,https://www.ecsa.sa.gov.au/elections/past-state-election-results,https://www.ecsa.sa.gov.au/component/edocman/244-2022se-ha-final-distribution/download?Itemid=0,"MARSHALL, Steven",Liberal Party,27269,24010,437,24447,89.65,12006,"MARSHALL, Steven",Liberal Party,11219,"MARSHALL, Steven",Liberal Party,12135,"O'HANLON, Cressida",Australian Labor Party,11875,260,False,916
