district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
"Greeley County, Nebraska",https://doi.org/10.7910/DVN/VOQCHQ,https://doi.org/10.7910/DVN/VOQCHQ,Mitt Romney,Republican,0,1185,0,1185,0,480,0,first,,,Other candidates,Other,25,Nebraska,US-COUNTY-31077,compiled,County-level candidate totals come from the MIT Election Data and Science Lab historical returns. Kansas City is combined with Jackson County and Bedford City with Bedford County to match the shared historical boundary file. Alaska and the District of Columbia use official statewide totals.
"Hall County, Nebraska",https://doi.org/10.7910/DVN/VOQCHQ,https://doi.org/10.7910/DVN/VOQCHQ,Mitt Romney,Republican,0,20229,0,20229,0,5485,0,first,,,Barack Obama,Democratic,7161,Nebraska,US-COUNTY-31079,compiled,County-level candidate totals come from the MIT Election Data and Science Lab historical returns. Kansas City is combined with Jackson County and Bedford City with Bedford County to match the shared historical boundary file. Alaska and the District of Columbia use official statewide totals.
"Hall County, Nebraska",https://doi.org/10.7910/DVN/VOQCHQ,https://doi.org/10.7910/DVN/VOQCHQ,Mitt Romney,Republican,0,20229,0,20229,0,5485,0,first,,,Mitt Romney,Republican,12646,Nebraska,US-COUNTY-31079,compiled,County-level candidate totals come from the MIT Election Data and Science Lab historical returns. Kansas City is combined with Jackson County and Bedford City with Bedford County to match the shared historical boundary file. Alaska and the District of Columbia use official statewide totals.
"Hall County, Nebraska",https://doi.org/10.7910/DVN/VOQCHQ,https://doi.org/10.7910/DVN/VOQCHQ,Mitt Romney,Republican,0,20229,0,20229,0,5485,0,first,,,Other candidates,Other,422,Nebraska,US-COUNTY-31079,compiled,County-level candidate totals come from the MIT Election Data and Science Lab historical returns. Kansas City is combined with Jackson County and Bedford City with Bedford County to match the shared historical boundary file. Alaska and the District of Columbia use official statewide totals.
"Hamilton County, Nebraska",https://doi.org/10.7910/DVN/VOQCHQ,https://doi.org/10.7910/DVN/VOQCHQ,Mitt Romney,Republican,0,4871,0,4871,0,2454,0,first,,,Barack Obama,Democratic,1146,Nebraska,US-COUNTY-31081,compiled,County-level candidate totals come from the MIT Election Data and Science Lab historical returns. Kansas City is combined with Jackson County and Bedford City with Bedford County to match the shared historical boundary file. Alaska and the District of Columbia use official statewide totals.
"Hamilton County, Nebraska",https://doi.org/10.7910/DVN/VOQCHQ,https://doi.org/10.7910/DVN/VOQCHQ,Mitt Romney,Republican,0,4871,0,4871,0,2454,0,first,,,Mitt Romney,Republican,3600,Nebraska,US-COUNTY-31081,compiled,County-level candidate totals come from the MIT Election Data and Science Lab historical returns. Kansas City is combined with Jackson County and Bedford City with Bedford County to match the shared historical boundary file. Alaska and the District of Columbia use official statewide totals.
"Hamilton County, Nebraska",https://doi.org/10.7910/DVN/VOQCHQ,https://doi.org/10.7910/DVN/VOQCHQ,Mitt Romney,Republican,0,4871,0,4871,0,2454,0,first,,,Other candidates,Other,125,Nebraska,US-COUNTY-31081,compiled,County-level candidate totals come from the MIT Election Data and Science Lab historical returns. Kansas City is combined with Jackson County and Bedford City with Bedford County to match the shared historical boundary file. Alaska and the District of Columbia use official statewide totals.
"Harlan County, Nebraska",https://doi.org/10.7910/DVN/VOQCHQ,https://doi.org/10.7910/DVN/VOQCHQ,Mitt Romney,Republican,0,1778,0,1778,0,1041,0,first,,,Barack Obama,Democratic,354,Nebraska,US-COUNTY-31083,compiled,County-level candidate totals come from the MIT Election Data and Science Lab historical returns. Kansas City is combined with Jackson County and Bedford City with Bedford County to match the shared historical boundary file. Alaska and the District of Columbia use official statewide totals.
"Harlan County, Nebraska",https://doi.org/10.7910/DVN/VOQCHQ,https://doi.org/10.7910/DVN/VOQCHQ,Mitt Romney,Republican,0,1778,0,1778,0,1041,0,first,,,Mitt Romney,Republican,1395,Nebraska,US-COUNTY-31083,compiled,County-level candidate totals come from the MIT Election Data and Science Lab historical returns. Kansas City is combined with Jackson County and Bedford City with Bedford County to match the shared historical boundary file. Alaska and the District of Columbia use official statewide totals.
"Harlan County, Nebraska",https://doi.org/10.7910/DVN/VOQCHQ,https://doi.org/10.7910/DVN/VOQCHQ,Mitt Romney,Republican,0,1778,0,1778,0,1041,0,first,,,Other candidates,Other,29,Nebraska,US-COUNTY-31083,compiled,County-level candidate totals come from the MIT Election Data and Science Lab historical returns. Kansas City is combined with Jackson County and Bedford City with Bedford County to match the shared historical boundary file. Alaska and the District of Columbia use official statewide totals.
"Hayes County, Nebraska",https://doi.org/10.7910/DVN/VOQCHQ,https://doi.org/10.7910/DVN/VOQCHQ,Mitt Romney,Republican,0,539,0,539,0,425,0,first,,,Barack Obama,Democratic,51,Nebraska,US-COUNTY-31085,compiled,County-level candidate totals come from the MIT Election Data and Science Lab historical returns. Kansas City is combined with Jackson County and Bedford City with Bedford County to match the shared historical boundary file. Alaska and the District of Columbia use official statewide totals.
"Hayes County, Nebraska",https://doi.org/10.7910/DVN/VOQCHQ,https://doi.org/10.7910/DVN/VOQCHQ,Mitt Romney,Republican,0,539,0,539,0,425,0,first,,,Mitt Romney,Republican,476,Nebraska,US-COUNTY-31085,compiled,County-level candidate totals come from the MIT Election Data and Science Lab historical returns. Kansas City is combined with Jackson County and Bedford City with Bedford County to match the shared historical boundary file. Alaska and the District of Columbia use official statewide totals.
"Hayes County, Nebraska",https://doi.org/10.7910/DVN/VOQCHQ,https://doi.org/10.7910/DVN/VOQCHQ,Mitt Romney,Republican,0,539,0,539,0,425,0,first,,,Other candidates,Other,12,Nebraska,US-COUNTY-31085,compiled,County-level candidate totals come from the MIT Election Data and Science Lab historical returns. Kansas City is combined with Jackson County and Bedford City with Bedford County to match the shared historical boundary file. Alaska and the District of Columbia use official statewide totals.
"Hitchcock County, Nebraska",https://doi.org/10.7910/DVN/VOQCHQ,https://doi.org/10.7910/DVN/VOQCHQ,Mitt Romney,Republican,0,1495,0,1495,0,904,0,first,,,Barack Obama,Democratic,274,Nebraska,US-COUNTY-31087,compiled,County-level candidate totals come from the MIT Election Data and Science Lab historical returns. Kansas City is combined with Jackson County and Bedford City with Bedford County to match the shared historical boundary file. Alaska and the District of Columbia use official statewide totals.
