district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Aston,https://results.aec.gov.au/24310/Website/HouseDivisionPage-24310-197.htm,https://results.aec.gov.au/24310/Website/HouseDop-24310-197.htm,"TUDGE, Alan",Liberal,110342,100090,3829,103919,94.18,20270,"TUDGE, Alan",Liberal,54744,"TUDGE, Alan",Liberal,60180,"PETHIYAGODA, Kadira",Australian Labor Party,39910,20270,False,5436
Ballarat,https://results.aec.gov.au/24310/Website/HouseDivisionPage-24310-198.htm,https://results.aec.gov.au/24310/Website/HouseDop-24310-198.htm,"KING, Catherine",Australian Labor Party,114954,102683,4689,107372,93.4,22547,"KING, Catherine",Australian Labor Party,49077,"KING, Catherine",Australian Labor Party,62615,"VO, Tim",Liberal,40068,22547,False,13538
Bendigo,https://results.aec.gov.au/24310/Website/HouseDivisionPage-24310-200.htm,https://results.aec.gov.au/24310/Website/HouseDop-24310-200.htm,"CHESTERS, Lisa",Australian Labor Party,112755,101661,4318,105979,93.99,18371,"CHESTERS, Lisa",Australian Labor Party,44340,"CHESTERS, Lisa",Australian Labor Party,60016,"GAYED, Sam",Liberal,41645,18371,False,15676
Bruce,https://results.aec.gov.au/24310/Website/HouseDivisionPage-24310-201.htm,https://results.aec.gov.au/24310/Website/HouseDop-24310-201.htm,"HILL, Julian",Australian Labor Party,109195,93040,5521,98561,90.26,26338,"HILL, Julian",Australian Labor Party,51713,"HILL, Julian",Australian Labor Party,59689,"MacISAAC, John",Liberal,33351,26338,False,7976
Calwell,https://results.aec.gov.au/24310/Website/HouseDivisionPage-24310-203.htm,https://results.aec.gov.au/24310/Website/HouseDop-24310-203.htm,"VAMVAKINOU, Maria",Australian Labor Party,107507,87452,8884,96336,89.61,32876,"VAMVAKINOU, Maria",Australian Labor Party,47115,"VAMVAKINOU, Maria",Australian Labor Party,60164,"HAMILTON, Genevieve",Liberal,27288,32876,False,13049
Casey,https://results.aec.gov.au/24310/Website/HouseDivisionPage-24310-204.htm,https://results.aec.gov.au/24310/Website/HouseDop-24310-204.htm,"SMITH, Tony",Liberal,113307,99828,6892,106720,94.19,9274,"SMITH, Tony",Liberal,45168,"SMITH, Tony",Liberal,54551,"BRINDLE, Bill",Australian Labor Party,45277,9274,False,9383
Chisholm,https://results.aec.gov.au/24310/Website/HouseDivisionPage-24310-205.htm,https://results.aec.gov.au/24310/Website/HouseDop-24310-205.htm,"LIU, Gladys",Liberal,106323,94920,4463,99383,93.47,1090,"LIU, Gladys",Liberal,41172,"LIU, Gladys",Liberal,48005,"YANG, Jennifer",Australian Labor Party,46915,1090,False,6833
Cooper,https://results.aec.gov.au/24310/Website/HouseDivisionPage-24310-320.htm,https://results.aec.gov.au/24310/Website/HouseDop-24310-320.htm,"KEARNEY, Ged",Australian Labor Party,110836,97481,4986,102467,92.45,28553,"KEARNEY, Ged",Australian Labor Party,45601,"KEARNEY, Ged",Australian Labor Party,63017,"RISSTROM, David",The Greens (VIC),34464,28553,False,17416
Corangamite,https://results.aec.gov.au/24310/Website/HouseDivisionPage-24310-207.htm,https://results.aec.gov.au/24310/Website/HouseDop-24310-207.htm,"COKER, Libby",Australian Labor Party,111601,101620,4196,105816,94.82,2170,"HENDERSON, Sarah",Liberal,43017,"COKER, Libby",Australian Labor Party,51895,"HENDERSON, Sarah",Liberal,49725,2170,True,15848
Corio,https://results.aec.gov.au/24310/Website/HouseDivisionPage-24310-208.htm,https://results.aec.gov.au/24310/Website/HouseDop-24310-208.htm,"MARLES, Richard",Australian Labor Party,110304,98752,3648,102400,92.83,20392,"MARLES, Richard",Australian Labor Party,47010,"MARLES, Richard",Australian Labor Party,59572,"THOMSON, Alastair",Liberal,39180,20392,False,12562
