district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/albertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,43134,36576,1575,38151,88.45,,"EELES, Shannon",LIBERAL,15177,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,19370,"EELES, Shannon",LIBERAL,17206,2164,True,7544
Altona,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/altonadistrict.html,,"HENNESSY, Jill",AUSTRALIAN LABOR PARTY,48044,42085,2425,44510,92.64,,"HENNESSY, Jill",AUSTRALIAN LABOR PARTY,21862,"HENNESSY, Jill",AUSTRALIAN LABOR PARTY,26366,"SAMARA, Nihal",LIBERAL,15777,10589,False,4504
Bass,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bassdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/distributionbassdistrict.html,"PAYNTER, Brian",LIBERAL,44492,39713,2272,41985,94.37,,"PAYNTER, Brian",LIBERAL,18008,"PAYNTER, Brian",LIBERAL,21664,"NATHAN, Sanjay",AUSTRALIAN LABOR PARTY,18049,3615,False,3656
Bayswater,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bayswaterdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/distributionbayswaterdistrict.html,"VICTORIA, Heidi",LIBERAL,42719,38159,2040,40199,94.1,,"VICTORIA, Heidi",LIBERAL,18809,"VICTORIA, Heidi",LIBERAL,19536,"DIB, Tony",AUSTRALIAN LABOR PARTY,13212,6324,False,727
Bellarine,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bellarinedistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/distributionbellarinedistrict.html,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY,42541,38611,1964,40575,95.38,,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY,16818,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY,21174,"NELSON, Ron",LIBERAL,17437,3737,False,4356
Benambra,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/benambradistrict.html,,"TILLEY, Bill",LIBERAL,44259,39244,1863,41107,92.88,,"TILLEY, Bill",LIBERAL,21430,"TILLEY, Bill",LIBERAL,23452,"PODESTA, Jennifer",AUSTRALIAN LABOR PARTY,15848,7604,False,2022
Bendigo East,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bendigoeastdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/distributionbendigoeastdistrict.html,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY,43982,40305,1456,41761,94.95,,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY,18651,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY,22187,"BICKLEY, Greg",LIBERAL,18118,4069,False,3536
Bendigo West,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bendigowestdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/distributionbendigowestdistrict.html,"EDWARDS, Maree",AUSTRALIAN LABOR PARTY,42505,38131,1753,39884,93.83,,"EDWARDS, Maree",AUSTRALIAN LABOR PARTY,18247,"EDWARDS, Maree",AUSTRALIAN LABOR PARTY,19204,"LANGDON, Michael",LIBERAL,13683,5521,False,957
Bentleigh,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/bentleighdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/distributionbentleighdistrict.html,"STAIKOS, Nick",AUSTRALIAN LABOR PARTY,40981,36330,2010,38340,93.56,,"MILLER, Elizabeth",LIBERAL,16669,"STAIKOS, Nick",AUSTRALIAN LABOR PARTY,18449,"MILLER, Elizabeth",LIBERAL,17881,568,True,4424
Box Hill,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2014/boxhilldistrict.html,,"CLARK, Robert",LIBERAL,43389,39005,1520,40525,93.4,,"CLARK, Robert",LIBERAL,19944,"CLARK, Robert",LIBERAL,21744,"PERRI, Stefanie",AUSTRALIAN LABOR PARTY,17298,4446,False,1800
