district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Pascoe Vale,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/pascoevaledistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionpascoevaledistrict.html,"BLANDTHORN, Lizzie",AUSTRALIAN LABOR PARTY,51163,42140,3220,45360,88.66,,"BLANDTHORN, Lizzie",AUSTRALIAN LABOR PARTY,15904,"BLANDTHORN, Lizzie",AUSTRALIAN LABOR PARTY,24684,"YILDIZ, Oscar",Independent,17456,7228,False,8780
Polwarth,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/polwarthdistrict.html,,"RIORDAN, Richard",LIBERAL,45895,40340,2122,42462,92.52,,"RIORDAN, Richard",LIBERAL,20629,"RIORDAN, Richard",LIBERAL,22360,"JOHNSTON, Douglas",AUSTRALIAN LABOR PARTY,17999,4361,False,1731
Prahran,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/prahrandistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionprahrandistrict.html,"HIBBINS, Sam",AUSTRALIAN GREENS,50373,40422,2229,42651,84.67,,"ALLEN, Katie",LIBERAL,13956,"HIBBINS, Sam",AUSTRALIAN GREENS,23224,"ALLEN, Katie",LIBERAL,17198,6026,True,11877
Preston,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/prestondistrict.html,,"SCOTT, Robin",AUSTRALIAN LABOR PARTY,45253,37346,2687,40033,88.46,,"SCOTT, Robin",AUSTRALIAN LABOR PARTY,19409,"SCOTT, Robin",AUSTRALIAN LABOR PARTY,29318,"SCOTT, Robin",AUSTRALIAN LABOR PARTY,26372,2946,False,9909
Richmond,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/richmonddistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionrichmonddistrict.html,"WYNNE, Richard",AUSTRALIAN LABOR PARTY,54680,44394,2783,47177,86.28,,"WYNNE, Richard",AUSTRALIAN LABOR PARTY,19705,"WYNNE, Richard",AUSTRALIAN LABOR PARTY,24620,"MALTZAHN, Kathleen",AUSTRALIAN GREENS,19774,4846,False,4915
Ringwood,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/ringwooddistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionringwooddistrict.html,"HALSE, Dustin",AUSTRALIAN LABOR PARTY,41299,35930,1958,37888,91.74,,"RYALL, Dee",LIBERAL,15883,"HALSE, Dustin",AUSTRALIAN LABOR PARTY,18978,"RYALL, Dee",LIBERAL,16952,2026,True,3857
Ripon,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/ripondistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionripondistrict.html,"STALEY, Louise",LIBERAL,47774,40055,3606,43661,91.39,,"STALEY, Louise",LIBERAL,15594,"STALEY, Louise",LIBERAL,20035,"DE SANTIS, Sarah",AUSTRALIAN LABOR PARTY,20020,15,False,4441
Rowville,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/rowvilledistrict.html,,"WELLS, Kim",LIBERAL,39893,34832,2207,37039,92.85,,"WELLS, Kim",LIBERAL,17551,"WELLS, Kim",LIBERAL,19373,"SHAHBAZ, Muhammad",AUSTRALIAN LABOR PARTY,15416,3957,False,1822
Sandringham,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/sandringhamdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionsandringhamdistrict.html,"ROWSWELL, Brad",LIBERAL,45020,39274,1990,41264,91.66,,"ROWSWELL, Brad",LIBERAL,16770,"ROWSWELL, Brad",LIBERAL,19891,"HORVATH, Anita",AUSTRALIAN LABOR PARTY,19383,508,False,3121
Shepparton,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/sheppartondistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionsheppartondistrict.html,"SHEED, Suzanna",,48765,41290,2396,43686,89.58,,"SHEED, Suzanna",Independent,15856,"SHEED, Suzanna",Independent,22833,"HAMMER, Cheryl",LIBERAL,18457,4376,False,6977
