district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Chatsworth,https://results.elections.qld.gov.au/state2020/chatsworth,https://results.elections.qld.gov.au/state2020/chatsworth/preference,"MINNIKIN, Steve",Liberal National Party of Queensland,35668,31570,800,32370,90.75,15786,"MINNIKIN, Steve",Liberal National Party of Queensland,14614,"MINNIKIN, Steve",Liberal National Party of Queensland,16191,"O'DONNELL, Lisa",Australian Labor Party (State of Queensland),15379,812,False,1577
Clayfield,https://results.elections.qld.gov.au/state2020/clayfield,https://results.elections.qld.gov.au/state2020/clayfield/preference,"NICHOLLS, Tim",Liberal National Party of Queensland,40218,34817,719,35536,88.36,17409,"NICHOLLS, Tim",Liberal National Party of Queensland,15979,"NICHOLLS, Tim",Liberal National Party of Queensland,17949,"ANTHONY, Philip",Australian Labor Party (State of Queensland),16868,1081,False,1970
Condamine,https://results.elections.qld.gov.au/state2020/condamine,https://results.elections.qld.gov.au/state2020/condamine/preference,"WEIR, Pat",Liberal National Party of Queensland,37883,33781,993,34774,91.79,16891,"WEIR, Pat",Liberal National Party of Queensland,18466,"WEIR, Pat",Liberal National Party of Queensland,23376,"HUYBREGTS, Brendon",Australian Labor Party (State of Queensland),10405,12971,False,4910
Cook,https://results.elections.qld.gov.au/state2020/cook,https://results.elections.qld.gov.au/state2020/cook/preference,"LUI, Cynthia",Australian Labor Party (State of Queensland),33912,25893,1167,27060,79.79,12947,"LUI, Cynthia",Australian Labor Party (State of Queensland),10363,"LUI, Cynthia",Australian Labor Party (State of Queensland),14567,"BROWN, Ed (Nipper)",Liberal National Party of Queensland,11326,3241,False,4204
Coomera,https://results.elections.qld.gov.au/state2020/coomera,https://results.elections.qld.gov.au/state2020/coomera/preference,"CRANDON, Michael",Liberal National Party of Queensland,45715,36665,1888,38553,84.33,18333,"CRANDON, Michael",Liberal National Party of Queensland,14655,"CRANDON, Michael",Liberal National Party of Queensland,18727,"JOHNSON, Chris",Australian Labor Party (State of Queensland),17938,789,False,4072
Cooper,https://results.elections.qld.gov.au/state2020/cooper,https://results.elections.qld.gov.au/state2020/cooper/preference,"BUSH, Jonty",Australian Labor Party (State of Queensland),37386,33747,443,34190,91.45,16874,"BUSH, Jonty",Australian Labor Party (State of Queensland),11509,"BUSH, Jonty",Australian Labor Party (State of Queensland),20414,"WISEMAN, Trent",Liberal National Party of Queensland,13333,7081,False,8905
Currumbin,https://results.elections.qld.gov.au/state2020/currumbin,https://results.elections.qld.gov.au/state2020/currumbin/preference,"GERBER, Laura",Liberal National Party of Queensland,36059,29716,1454,31170,86.44,14859,"GERBER, Laura",Liberal National Party of Queensland,11957,"GERBER, Laura",Liberal National Party of Queensland,15013,"CAMPRADT, Kaylee",Australian Labor Party (State of Queensland),14703,310,False,3056
Everton,https://results.elections.qld.gov.au/state2020/everton,https://results.elections.qld.gov.au/state2020/everton/preference,"MANDER, Tim",Liberal National Party of Queensland,37520,33751,782,34533,92.04,16876,"MANDER, Tim",Liberal National Party of Queensland,15455,"MANDER, Tim",Liberal National Party of Queensland,17630,"SHANKEY, Danielle",Australian Labor Party (State of Queensland),16121,1509,False,2175
Ferny Grove,https://results.elections.qld.gov.au/state2020/fernygrove,https://results.elections.qld.gov.au/state2020/fernygrove/preference,"FURNER, Mark",Australian Labor Party (State of Queensland),36224,32325,870,33195,91.64,16163,"FURNER, Mark",Australian Labor Party (State of Queensland),14577,"FURNER, Mark",Australian Labor Party (State of Queensland),19710,"LEHMANN, Chris",Liberal National Party of Queensland,12615,7095,False,5133
Gaven,https://results.elections.qld.gov.au/state2020/gaven,https://results.elections.qld.gov.au/state2020/gaven/preference,"SCANLON, Meaghan",Australian Labor Party (State of Queensland),33051,27244,1419,28663,86.72,13623,"SCANLON, Meaghan",Australian Labor Party (State of Queensland),12932,"SCANLON, Meaghan",Australian Labor Party (State of Queensland),15734,"JACKSON, Kirsten",Liberal National Party of Queensland,11510,4224,False,2802
