district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Albury,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Albury.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Albury.htm,APLIN Greg,LP,49719,43064,,,90.0,21533,APLIN,LP,26316,APLIN Greg,LP,28606,CAMERON Darren,ALP,8609,19997,True,28606
Auburn,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Auburn.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Auburn.htm,PERRY Barbara,ALP,50994,44028,,,90.9,22015,PERRY,ALP,20377,PERRY Barbara,ALP,22199,ATTIE Ned,LP,15758,6441,True,22199
Ballina,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Ballina.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Ballina.htm,PAGE Don,NP,48432,42224,,,89.0,21113,PAGE,NP,24054,PAGE Don,NP,26672,WARNES Toby,ALP,8814,17858,True,26672
Balmain,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Balmain.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Balmain.htm,FIRTH Verity,ALP,51888,45638,,,90.2,22820,FALK,LP,14860,FIRTH Verity,ALP,0,PARKER Jamie,GNS,0,0,True,0
Bankstown,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Bankstown.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Bankstown.htm,MIHAILUK Tania,ALP,48714,41713,,,91.5,20857,MIHAILUK,ALP,19327,MIHAILUK Tania,ALP,21011,CHAHINE Bill,LP,13862,7149,True,21011
Barwon,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Barwon.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Barwon.htm,HUMPHRIES Kevin,NP,43814,39107,,,91.3,19554,HUMPHRIES,NP,30949,HUMPHRIES Kevin,NP,31349,MASSARANI Patrick,ALP,6883,24466,True,31349
Bathurst,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Bathurst.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Bathurst.htm,TOOLE Paul,NP,49419,45823,,,94.7,22912,TOOLE,NP,30777,TOOLE Paul,NP,31940,TURNER Dale,CL,11426,20514,True,31940
Baulkham Hills,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Baulkham_Hills.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Baulkham_Hills.htm,ELLIOTT David,LP,50946,46977,,,94.8,23489,ELLIOTT,LP,31000,ELLIOTT David,LP,32963,HAY Tony,ALP,10161,22802,True,32963
Bega,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Bega.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Bega.htm,CONSTANCE Andrew,LP,49678,44286,,,92.0,22144,CONSTANCE,LP,26122,CONSTANCE Andrew,LP,27369,ATKINSON Leanne,ALP,12505,14864,True,27369
Blacktown,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Blacktown.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Blacktown.htm,ROBERTSON John,ALP,49412,44073,,,93.4,22037,ROBERTSON,ALP,19419,ROBERTSON John,ALP,20796,SILJEG Karlo,LP,17910,2886,True,20796
Blue Mountains,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Blue_Mountains.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Blue_Mountains.htm,SAGE Roza,LP,49326,45226,,,94.0,22614,SAGE,LP,17681,SAGE Roza,LP,20759,DOYLE Trish,ALP,17131,3628,True,20759
Burrinjuck,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Burrinjuck.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Burrinjuck.htm,HODGKINSON Katrina,NP,48874,44828,,,93.8,22415,HODGKINSON,NP,33339,HODGKINSON Katrina,NP,34618,ZIVADINOVIC Luna,ALP,8093,26525,True,34618
Cabramatta,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Cabramatta.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Cabramatta.htm,LALICH Nick,ALP,50127,44766,,,93.0,22384,LALICH,ALP,20924,LALICH Nick,ALP,21705,LE Dai,LP,19941,1764,True,21705
Camden,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Camden.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Camden.htm,PATTERSON Chris,LP,50362,46049,,,94.8,23025,PATTERSON,LP,27847,PATTERSON Chris,LP,29363,CORRIGAN Geoff,ALP,13279,16084,True,29363
Campbelltown,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Campbelltown.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Campbelltown.htm,DOYLE Bryan,LP,45458,40419,,,93.0,20210,DOYLE,LP,18152,DOYLE Bryan,LP,19510,BLEASDALE Nick,ALP,17046,2464,True,19510
Canterbury,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Canterbury.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Canterbury.htm,BURNEY Linda,ALP,51501,45391,,,91.9,22696,BURNEY,ALP,21417,BURNEY Linda,ALP,24376,NAM Ken,LP,17358,7018,True,24376
Castle Hill,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_district_summary-Castle_Hill.htm,https://pastvtr.elections.nsw.gov.au/SGE2011/la/la_dop-Castle_Hill.htm,PERROTTET Dominic,LP,51963,47272,,,93.7,23637,PERROTTET,LP,32466,PERROTTET Dominic,LP,34421,TRACEY Ryan,ALP,8163,26258,True,34421
