district,district_url,distribution_url,elected_member,elected_members,elected_party,members_to_elect,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_members,candidate_party,votes,electorate_type,contest_status
Aljunied,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,WP team,Fadli Fawzi;Gerald Giam Yean Song;Sylvia Lim Swee Lian;Pritam Singh;Kenneth Tiong Boon Kiat,WP,5,144298,132725,1342,134067,92.91,66363,0,first,,,WP team,Fadli Fawzi;Gerald Giam Yean Song;Sylvia Lim Swee Lian;Pritam Singh;Kenneth Tiong Boon Kiat,WP,79254,GRC,official
Aljunied,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,WP team,Fadli Fawzi;Gerald Giam Yean Song;Sylvia Lim Swee Lian;Pritam Singh;Kenneth Tiong Boon Kiat,WP,5,144298,132725,1342,134067,92.91,66363,0,first,,,PAP team,"Ang Zi Yang, Adrian;Chan Hui Yuh;Faisal Abdul Aziz;Jagathishwaran Rajo;Liu Keyuan, Daniel",PAP,53471,GRC,official
Aljunied,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,WP team,Fadli Fawzi;Gerald Giam Yean Song;Sylvia Lim Swee Lian;Pritam Singh;Kenneth Tiong Boon Kiat,WP,5,144298,132725,1342,134067,92.91,66363,1,final,,,WP team,Fadli Fawzi;Gerald Giam Yean Song;Sylvia Lim Swee Lian;Pritam Singh;Kenneth Tiong Boon Kiat,WP,79254,GRC,official
Aljunied,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,WP team,Fadli Fawzi;Gerald Giam Yean Song;Sylvia Lim Swee Lian;Pritam Singh;Kenneth Tiong Boon Kiat,WP,5,144298,132725,1342,134067,92.91,66363,1,final,,,PAP team,"Ang Zi Yang, Adrian;Chan Hui Yuh;Faisal Abdul Aziz;Jagathishwaran Rajo;Liu Keyuan, Daniel",PAP,53471,GRC,official
Ang Mo Kio,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,PAP team,Darryl David;Jasmin Lau;Lee Hsien Loong;Victor Lye;Nadia Ahmad Samdin,PAP,5,161499,146365,4399,150764,93.35,73183,0,first,,,PAP team,Darryl David;Jasmin Lau;Lee Hsien Loong;Victor Lye;Nadia Ahmad Samdin,PAP,115562,GRC,official
Ang Mo Kio,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,PAP team,Darryl David;Jasmin Lau;Lee Hsien Loong;Victor Lye;Nadia Ahmad Samdin,PAP,5,161499,146365,4399,150764,93.35,73183,0,first,,,SUP team,Vincent Ng Kian Guan;Nigel Ng;Noraini Yunus;Ridhuan Chandran;Zhu Laicheng,SUP,15874,GRC,official
Ang Mo Kio,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,PAP team,Darryl David;Jasmin Lau;Lee Hsien Loong;Victor Lye;Nadia Ahmad Samdin,PAP,5,161499,146365,4399,150764,93.35,73183,0,first,,,PPP team,"Heng Zheng Dao;Ho Yuen Liung Martinn;Lee Yuru, Samuel;Lim Lian Chin;Thaddeus Shamraj S/O Thomas Selvaraj",PPP,14929,GRC,official
Ang Mo Kio,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,PAP team,Darryl David;Jasmin Lau;Lee Hsien Loong;Victor Lye;Nadia Ahmad Samdin,PAP,5,161499,146365,4399,150764,93.35,73183,1,final,,,PAP team,Darryl David;Jasmin Lau;Lee Hsien Loong;Victor Lye;Nadia Ahmad Samdin,PAP,115562,GRC,official
Ang Mo Kio,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,PAP team,Darryl David;Jasmin Lau;Lee Hsien Loong;Victor Lye;Nadia Ahmad Samdin,PAP,5,161499,146365,4399,150764,93.35,73183,1,final,,,SUP team,Vincent Ng Kian Guan;Nigel Ng;Noraini Yunus;Ridhuan Chandran;Zhu Laicheng,SUP,15874,GRC,official
Ang Mo Kio,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,PAP team,Darryl David;Jasmin Lau;Lee Hsien Loong;Victor Lye;Nadia Ahmad Samdin,PAP,5,161499,146365,4399,150764,93.35,73183,1,final,,,PPP team,"Heng Zheng Dao;Ho Yuen Liung Martinn;Lee Yuru, Samuel;Lim Lian Chin;Thaddeus Shamraj S/O Thomas Selvaraj",PPP,14929,GRC,official
Bukit Gombak,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,Low Yen Ling,Low Yen Ling,PAP,1,26427,23672,298,23970,90.7,11837,0,first,,,Low Yen Ling,Low Yen Ling,PAP,17946,SMC,official
Bukit Gombak,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,Low Yen Ling,Low Yen Ling,PAP,1,26427,23672,298,23970,90.7,11837,0,first,,,Harish Pillay,Harish Pillay,PSP,5726,SMC,official
Bukit Gombak,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,Low Yen Ling,Low Yen Ling,PAP,1,26427,23672,298,23970,90.7,11837,1,final,,,Low Yen Ling,Low Yen Ling,PAP,17946,SMC,official
Bukit Gombak,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,Low Yen Ling,Low Yen Ling,PAP,1,26427,23672,298,23970,90.7,11837,1,final,,,Harish Pillay,Harish Pillay,PSP,5726,SMC,official
Bukit Panjang,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,Liang Eng Hwa,Liang Eng Hwa,PAP,1,33596,31203,350,31553,93.92,15602,0,first,,,Liang Eng Hwa,Liang Eng Hwa,PAP,19152,SMC,official
Bukit Panjang,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,Liang Eng Hwa,Liang Eng Hwa,PAP,1,33596,31203,350,31553,93.92,15602,0,first,,,Paul Anantharajah Tambyah,Paul Anantharajah Tambyah,SDP,12051,SMC,official
Bukit Panjang,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,Liang Eng Hwa,Liang Eng Hwa,PAP,1,33596,31203,350,31553,93.92,15602,1,final,,,Liang Eng Hwa,Liang Eng Hwa,PAP,19152,SMC,official
Bukit Panjang,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,Liang Eng Hwa,Liang Eng Hwa,PAP,1,33596,31203,350,31553,93.92,15602,1,final,,,Paul Anantharajah Tambyah,Paul Anantharajah Tambyah,SDP,12051,SMC,official
Bishan-Toa Payoh,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,PAP team,Cai Yinzhou;Chee Hong Tat;Elysa Chen;Saktiandi Supaat,PAP,4,98708,88399,2092,90491,91.68,44200,0,first,,,PAP team,Cai Yinzhou;Chee Hong Tat;Elysa Chen;Saktiandi Supaat,PAP,66455,GRC,official
Bishan-Toa Payoh,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,PAP team,Cai Yinzhou;Chee Hong Tat;Elysa Chen;Saktiandi Supaat,PAP,4,98708,88399,2092,90491,91.68,44200,0,first,,,SPP team,Steve Chia;Melvyn Chiu;Lim Rui Xian;Norhakim,SPP,21944,GRC,official
Bishan-Toa Payoh,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,PAP team,Cai Yinzhou;Chee Hong Tat;Elysa Chen;Saktiandi Supaat,PAP,4,98708,88399,2092,90491,91.68,44200,1,final,,,PAP team,Cai Yinzhou;Chee Hong Tat;Elysa Chen;Saktiandi Supaat,PAP,66455,GRC,official
Bishan-Toa Payoh,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,PAP team,Cai Yinzhou;Chee Hong Tat;Elysa Chen;Saktiandi Supaat,PAP,4,98708,88399,2092,90491,91.68,44200,1,final,,,SPP team,Steve Chia;Melvyn Chiu;Lim Rui Xian;Norhakim,SPP,21944,GRC,official
Chua Chu Kang,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,PAP team,Choo Pei Ling;Jeffrey Siow;Tan See Leng;Zhulkarnain Abdul Rahim,PAP,4,93522,86702,1191,87893,93.98,43352,0,first,,,PAP team,Choo Pei Ling;Jeffrey Siow;Tan See Leng;Zhulkarnain Abdul Rahim,PAP,55140,GRC,official
Chua Chu Kang,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,PAP team,Choo Pei Ling;Jeffrey Siow;Tan See Leng;Zhulkarnain Abdul Rahim,PAP,4,93522,86702,1191,87893,93.98,43352,0,first,,,PSP team,A'bas Bin Kasmani;Wendy Low Wei Ling;Lawrence Pek Eng Leong;S Nallakaruppan,PSP,31562,GRC,official
Chua Chu Kang,https://www.eld.gov.sg/finalresults2025.html,https://www.eld.gov.sg/gazette_2025.html,PAP team,Choo Pei Ling;Jeffrey Siow;Tan See Leng;Zhulkarnain Abdul Rahim,PAP,4,93522,86702,1191,87893,93.98,43352,1,final,,,PAP team,Choo Pei Ling;Jeffrey Siow;Tan See Leng;Zhulkarnain Abdul Rahim,PAP,55140,GRC,official
