district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Arafura,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arafura,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arafura,Manuel BROWN,Australian Labor Party NT Branch,6199,2708,57,2765,44.6,1355,Manuel BROWN,Australian Labor Party NT Branch,1887,Manuel BROWN,Australian Labor Party NT Branch,1887,Yanja THOMPSON-GAYKAMANGU,Country Liberal Party of the Northern Territory,821,1066,False,0
Araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/araluen,Robyn LAMBLEY,Independent,5891,4021,144,4165,70.7,2011,Robyn LAMBLEY,Independent,1638,Robyn LAMBLEY,Independent,2603,Sean HEENAN,Country Liberal Party of the Northern Territory,1418,1185,False,965
Arnhem,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arnhem,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/arnhem,Selena UIBO,Australian Labor Party NT Branch,6646,3364,92,3456,52.0,1683,Selena UIBO,Australian Labor Party NT Branch,2162,Selena UIBO,Australian Labor Party NT Branch,2162,Ian Mongunu GUMBULA,Country Liberal Party of the Northern Territory,1202,960,False,0
Barkly,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/barkly,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/barkly,Steve EDGINGTON,Country Liberal Party of the Northern Territory,6113,3025,75,3100,50.71,1513,Steve EDGINGTON,Country Liberal Party of the Northern Territory,1571,Steve EDGINGTON,Country Liberal Party of the Northern Territory,1571,Lizzie HOGAN,Australian Labor Party NT Branch,1454,117,False,0
Blain,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/blain,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/blain,Matthew KERLE,Country Liberal Party of the Northern Territory,6435,4075,161,4236,65.83,2038,Matthew KERLE,Country Liberal Party of the Northern Territory,1895,Matthew KERLE,Country Liberal Party of the Northern Territory,2116,Mark TURNER,Independent,1959,157,False,221
Braitling,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/braitling,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/braitling,Joshua BURGOYNE,Country Liberal Party of the Northern Territory,6117,4198,111,4309,70.44,2100,Joshua BURGOYNE,Country Liberal Party of the Northern Territory,2101,Joshua BURGOYNE,Country Liberal Party of the Northern Territory,2261,Asta HILL,NT Greens,1937,324,False,160
Brennan,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/brennan,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/brennan,Marie-Clare BOOTHBY,Country Liberal Party of the Northern Territory,6239,4775,132,4907,78.65,2388,Marie-Clare BOOTHBY,Country Liberal Party of the Northern Territory,3529,Marie-Clare BOOTHBY,Country Liberal Party of the Northern Territory,3529,Tony SIEVERS,Australian Labor Party NT Branch,1246,2283,False,0
Casuarina,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/casuarina,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/casuarina,Khoda PATEL,Country Liberal Party of the Northern Territory,5868,4664,147,4811,81.99,2333,Khoda PATEL,Country Liberal Party of the Northern Territory,2055,Khoda PATEL,Country Liberal Party of the Northern Territory,2365,Lauren MOSS,Australian Labor Party NT Branch,2299,66,False,310
Daly,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/daly,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/daly,Dheran YOUNG,Australian Labor Party NT Branch,6194,4442,131,4573,73.83,2222,Dheran YOUNG,Australian Labor Party NT Branch,2323,Dheran YOUNG,Australian Labor Party NT Branch,2323,Kris CIVITARESE,Country Liberal Party of the Northern Territory,2119,204,False,0
Drysdale,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/drysdale,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/drysdale,Clinton HOWE,Country Liberal Party of the Northern Territory,6346,4204,156,4360,68.7,2103,Clinton HOWE,Country Liberal Party of the Northern Territory,2466,Clinton HOWE,Country Liberal Party of the Northern Territory,2731,Eva LAWLER,Australian Labor Party NT Branch,1473,1258,False,265
Fannie Bay,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/fannie-bay,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/fannie-bay,Laurie ZIO,Country Liberal Party of the Northern Territory,6148,4661,104,4765,77.5,2331,Laurie ZIO,Country Liberal Party of the Northern Territory,1858,Laurie ZIO,Country Liberal Party of the Northern Territory,2349,Suki DORRAS-WALKER,NT Greens,2312,37,False,491
Fong Lim,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/fong-lim,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/fong-lim,Tanzil RAHMAN,Country Liberal Party of the Northern Territory,5676,4225,118,4343,76.52,2113,Tanzil RAHMAN,Country Liberal Party of the Northern Territory,2050,Tanzil RAHMAN,Country Liberal Party of the Northern Territory,2428,Mark MONAGHAN,Australian Labor Party NT Branch,1797,631,False,378
Goyder,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/goyder,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/goyder,Andrew MACKAY,Country Liberal Party of the Northern Territory,6312,5062,175,5237,82.97,2532,Andrew MACKAY,Country Liberal Party of the Northern Territory,2846,Andrew MACKAY,Country Liberal Party of the Northern Territory,3172,Belinda KOLSTAD,Independent,1890,1282,False,326
Gwoja,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/gwoja,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/gwoja,Chansey PAECH,Australian Labor Party NT Branch,6132,2512,68,2580,42.07,1257,Chansey PAECH,Australian Labor Party NT Branch,1654,Chansey PAECH,Australian Labor Party NT Branch,1654,Jarrod Jupurula WILLIAMS,Country Liberal Party of the Northern Territory,858,796,False,0
Johnston,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/johnston,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/johnston,Justine DAVIS,Independent,5721,4207,120,4327,75.63,2104,Gary STRACHAN,Country Liberal Party of the Northern Territory,1456,Justine DAVIS,Independent,2425,Gary STRACHAN,Country Liberal Party of the Northern Territory,1782,643,True,1152
Karama,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/karama,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/karama,Brian O'GALLAGHER,Country Liberal Party of the Northern Territory,5983,4147,167,4314,72.1,2074,Brian O'GALLAGHER,Country Liberal Party of the Northern Territory,2060,Brian O'GALLAGHER,Country Liberal Party of the Northern Territory,2542,Ngaree AH KIT,Australian Labor Party NT Branch,1605,937,False,482
Katherine,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/katherine,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/katherine,Jo HERSEY,Country Liberal Party of the Northern Territory,6173,3830,136,3966,64.25,1916,Jo HERSEY,Country Liberal Party of the Northern Territory,2181,Jo HERSEY,Country Liberal Party of the Northern Territory,2381,Sam PHELAN,Independent,1449,932,False,200
Mulka,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/mulka,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/mulka,Yingiya Mark GUYULA,Independent,6844,3057,90,3147,45.98,1529,Yingiya Mark GUYULA,Independent,2299,Yingiya Mark GUYULA,Independent,2299,Allen FANNING,Country Liberal Party of the Northern Territory,758,1541,False,0
Namatjira,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/namatjira,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/namatjira,Bill YAN,Country Liberal Party of the Northern Territory,6510,3441,154,3595,55.22,1721,Bill YAN,Country Liberal Party of the Northern Territory,1896,Bill YAN,Country Liberal Party of the Northern Territory,2115,Sheralee TAYLOR,Australian Labor Party NT Branch,1326,789,False,219
Nelson,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/nelson,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/nelson,Gerard MALEY,Country Liberal Party of the Northern Territory,6379,5104,146,5250,82.3,2553,Gerard MALEY,Country Liberal Party of the Northern Territory,3653,Gerard MALEY,Country Liberal Party of the Northern Territory,3653,Beverley RATAHI,Independent,743,2910,False,0
Nightcliff,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/nightcliff,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/nightcliff,Kat MCNAMARA,NT Greens,5995,4468,127,4595,76.65,2235,Natasha FYLES,Australian Labor Party NT Branch,1467,Kat MCNAMARA,NT Greens,2252,Natasha FYLES,Australian Labor Party NT Branch,2216,36,True,1271
Port Darwin,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/port-darwin,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/port-darwin,Robyn CAHILL,Country Liberal Party of the Northern Territory,5730,4119,121,4240,74.0,2060,Robyn CAHILL,Country Liberal Party of the Northern Territory,2149,Robyn CAHILL,Country Liberal Party of the Northern Territory,2543,Brian MANNING,Australian Labor Party NT Branch,1576,967,False,394
Sanderson,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/sanderson,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/sanderson,Jinson CHARLS,Country Liberal Party of the Northern Territory,5883,4427,149,4576,77.78,2214,Jinson CHARLS,Country Liberal Party of the Northern Territory,2311,Jinson CHARLS,Country Liberal Party of the Northern Territory,2311,Kate WORDEN,Australian Labor Party NT Branch,2116,195,False,0
Spillett,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/spillett,https://ntec.nt.gov.au/elections/past-elections/legislative-assembly/2024-territory-election/results/spillett,Lia FINOCCHIARO,Country Liberal Party of the Northern Territory,6093,4664,121,4785,78.53,2333,Lia FINOCCHIARO,Country Liberal Party of the Northern Territory,3712,Lia FINOCCHIARO,Country Liberal Party of the Northern Territory,3712,Caleb BURKE,Australian Labor Party NT Branch,952,2760,False,0
