district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Acre,https://dadosabertos.tse.jus.br/dataset/resultados-2022,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,409316,0,409316,,166184,0,first,,,Jair Bolsonaro,Jair Bolsonaro,287750,State,BR-UF-AC,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Acre,https://dadosabertos.tse.jus.br/dataset/resultados-2022,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,409316,0,409316,,166184,0,first,,,Luiz Inácio Lula da Silva,Luiz Inácio Lula da Silva,121566,State,BR-UF-AC,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Alagoas,https://dadosabertos.tse.jus.br/dataset/resultados-2022,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Luiz Inácio Lula da Silva,Luiz Inácio Lula da Silva,0,1664658,0,1664658,,289004,0,first,,,Luiz Inácio Lula da Silva,Luiz Inácio Lula da Silva,976831,State,BR-UF-AL,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Alagoas,https://dadosabertos.tse.jus.br/dataset/resultados-2022,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Luiz Inácio Lula da Silva,Luiz Inácio Lula da Silva,0,1664658,0,1664658,,289004,0,first,,,Jair Bolsonaro,Jair Bolsonaro,687827,State,BR-UF-AL,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Amapá,https://dadosabertos.tse.jus.br/dataset/resultados-2022,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,390465,0,390465,,10629,0,first,,,Jair Bolsonaro,Jair Bolsonaro,200547,State,BR-UF-AP,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Amapá,https://dadosabertos.tse.jus.br/dataset/resultados-2022,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,390465,0,390465,,10629,0,first,,,Luiz Inácio Lula da Silva,Luiz Inácio Lula da Silva,189918,State,BR-UF-AP,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Amazonas,https://dadosabertos.tse.jus.br/dataset/resultados-2022,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Luiz Inácio Lula da Silva,Luiz Inácio Lula da Silva,0,1966732,0,1966732,,43250,0,first,,,Luiz Inácio Lula da Silva,Luiz Inácio Lula da Silva,1004991,State,BR-UF-AM,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Amazonas,https://dadosabertos.tse.jus.br/dataset/resultados-2022,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Luiz Inácio Lula da Silva,Luiz Inácio Lula da Silva,0,1966732,0,1966732,,43250,0,first,,,Jair Bolsonaro,Jair Bolsonaro,961741,State,BR-UF-AM,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Bahia,https://dadosabertos.tse.jus.br/dataset/resultados-2022,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Luiz Inácio Lula da Silva,Luiz Inácio Lula da Silva,0,8454843,0,8454843,,3740787,0,first,,,Luiz Inácio Lula da Silva,Luiz Inácio Lula da Silva,6097815,State,BR-UF-BA,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Bahia,https://dadosabertos.tse.jus.br/dataset/resultados-2022,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Luiz Inácio Lula da Silva,Luiz Inácio Lula da Silva,0,8454843,0,8454843,,3740787,0,first,,,Jair Bolsonaro,Jair Bolsonaro,2357028,State,BR-UF-BA,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
