district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes
Balcatta,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MICHAEL, David",Australian Labor Party,30541,25121,1318,26439,86.57,12561,0,first,,,"MICHAEL, David",Australian Labor Party,12404
Balcatta,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MICHAEL, David",Australian Labor Party,30541,25121,1318,26439,86.57,12561,0,first,,,"HELLIWELL, James",Liberal Party,6500
Balcatta,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MICHAEL, David",Australian Labor Party,30541,25121,1318,26439,86.57,12561,0,first,,,"DON, Trevor",The Greens,3120
Balcatta,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MICHAEL, David",Australian Labor Party,30541,25121,1318,26439,86.57,12561,0,first,,,"POTTER, David",Pauline Hanson's One Nation,1055
Balcatta,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MICHAEL, David",Australian Labor Party,30541,25121,1318,26439,86.57,12561,0,first,,,"COLE, Chris",Legalise Cannabis Party WA,896
Balcatta,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MICHAEL, David",Australian Labor Party,30541,25121,1318,26439,86.57,12561,0,first,,,"D'COSTA, Wesley",Australian Christians,632
Balcatta,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MICHAEL, David",Australian Labor Party,30541,25121,1318,26439,86.57,12561,0,first,,,"HOLLIER, Robert","Shooters, Fishers and Farmers",514
Balcatta,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MICHAEL, David",Australian Labor Party,30541,25121,1318,26439,86.57,12561,1,final,,,"MICHAEL, David",Australian Labor Party,16192
Balcatta,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MICHAEL, David",Australian Labor Party,30541,25121,1318,26439,86.57,12561,1,final,,,"HELLIWELL, James",Liberal Party,8908
Baldivis,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"WHITBY, Reece",Australian Labor Party,31087,24737,1252,25989,83.6,12369,0,first,,,"WHITBY, Reece",Australian Labor Party,12546
Baldivis,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"WHITBY, Reece",Australian Labor Party,31087,24737,1252,25989,83.6,12369,0,first,,,"MBANO, Dylan",Liberal Party,5193
Baldivis,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"WHITBY, Reece",Australian Labor Party,31087,24737,1252,25989,83.6,12369,0,first,,,"NEWBURY, Annabelle",The Greens,2491
Baldivis,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"WHITBY, Reece",Australian Labor Party,31087,24737,1252,25989,83.6,12369,0,first,,,"VERMEULEN, Dylan",Pauline Hanson's One Nation,2023
Baldivis,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"WHITBY, Reece",Australian Labor Party,31087,24737,1252,25989,83.6,12369,0,first,,,"CHARLES, Mark",Legalise Cannabis Party WA,1285
