district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Albany,https://www.elections.wa.gov.au/elections/state-elections/reports/2021-state-election-results-and-statistics-report,https://www.elections.wa.gov.au/sites/default/files/content/SGE%202021/SGE%202021%20Reports/3_21_Res_Stats_Leg_Assem_0.pdf,"STEPHENS, Rebecca",Australian Labor Party,27464,23239,799,24038,87.53,11620,"STEPHENS, Rebecca",Australian Labor Party,11804,"STEPHENS, Rebecca",Australian Labor Party,14780,"LEARY, Scott",Liberal Party,8432,6348,False,2976
Armadale,https://www.elections.wa.gov.au/elections/state-elections/reports/2021-state-election-results-and-statistics-report,https://www.elections.wa.gov.au/sites/default/files/content/SGE%202021/SGE%202021%20Reports/3_21_Res_Stats_Leg_Assem_0.pdf,"BUTI, Tony",Australian Labor Party,32207,24771,1229,26000,80.73,12386,"BUTI, Tony",Australian Labor Party,18434,"BUTI, Tony",Australian Labor Party,21159,"ARUMUGAM, Mahesh",Liberal Party,3597,17562,False,2725
Balcatta,https://www.elections.wa.gov.au/elections/state-elections/reports/2021-state-election-results-and-statistics-report,https://www.elections.wa.gov.au/sites/default/files/content/SGE%202021/SGE%202021%20Reports/3_21_Res_Stats_Leg_Assem_0.pdf,"MICHAEL, David",Australian Labor Party,29541,23893,1222,25115,85.02,11947,"MICHAEL, David",Australian Labor Party,15894,"MICHAEL, David",Australian Labor Party,18087,"EVANS, Wayne",Liberal Party,5790,12297,False,2193
Baldivis,https://www.elections.wa.gov.au/elections/state-elections/reports/2021-state-election-results-and-statistics-report,https://www.elections.wa.gov.au/sites/default/files/content/SGE%202021/SGE%202021%20Reports/3_21_Res_Stats_Leg_Assem_0.pdf,"WHITBY, Reece",Australian Labor Party,32554,26488,924,27412,84.2,13245,"WHITBY, Reece",Australian Labor Party,21130,"WHITBY, Reece",Australian Labor Party,23013,"DERRICK, Luke",Liberal Party,3469,19544,False,1883
Bassendean,https://www.elections.wa.gov.au/elections/state-elections/reports/2021-state-election-results-and-statistics-report,https://www.elections.wa.gov.au/sites/default/files/content/SGE%202021/SGE%202021%20Reports/3_21_Res_Stats_Leg_Assem_0.pdf,"KELLY, Dave",Australian Labor Party,29509,24194,1172,25366,85.96,12098,"KELLY, Dave",Australian Labor Party,17094,"KELLY, Dave",Australian Labor Party,19727,"ADENIYI, Felicia",Liberal Party,4452,15275,False,2633
Bateman,https://www.elections.wa.gov.au/elections/state-elections/reports/2021-state-election-results-and-statistics-report,https://www.elections.wa.gov.au/sites/default/files/content/SGE%202021/SGE%202021%20Reports/3_21_Res_Stats_Leg_Assem_0.pdf,"GIDDENS, Kim",Australian Labor Party,30328,26409,762,27171,89.59,13205,"GIDDENS, Kim",Australian Labor Party,12106,"GIDDENS, Kim",Australian Labor Party,14963,"WOODALL, Matt",Liberal Party,11436,3527,False,2857
Belmont,https://www.elections.wa.gov.au/elections/state-elections/reports/2021-state-election-results-and-statistics-report,https://www.elections.wa.gov.au/sites/default/files/content/SGE%202021/SGE%202021%20Reports/3_21_Res_Stats_Leg_Assem_0.pdf,"ROWE, Cassie",Australian Labor Party,30025,23739,1019,24758,82.46,11870,"ROWE, Cassie",Australian Labor Party,16722,"ROWE, Cassie",Australian Labor Party,18795,"BUTLER, Charlotte",Liberal Party,4938,13857,False,2073
Bicton,https://www.elections.wa.gov.au/elections/state-elections/reports/2021-state-election-results-and-statistics-report,https://www.elections.wa.gov.au/sites/default/files/content/SGE%202021/SGE%202021%20Reports/3_21_Res_Stats_Leg_Assem_0.pdf,"O'MALLEY, Lisa",Australian Labor Party,28293,24607,628,25235,89.19,12304,"O'MALLEY, Lisa",Australian Labor Party,13556,"O'MALLEY, Lisa",Australian Labor Party,16136,"ROBINS, Nicole",Liberal Party,8466,7670,False,2580
Bunbury,https://www.elections.wa.gov.au/elections/state-elections/reports/2021-state-election-results-and-statistics-report,https://www.elections.wa.gov.au/sites/default/files/content/SGE%202021/SGE%202021%20Reports/3_21_Res_Stats_Leg_Assem_0.pdf,"PUNCH, Don",Australian Labor Party,30474,24463,1163,25626,84.09,12232,"PUNCH, Don",Australian Labor Party,14791,"PUNCH, Don",Australian Labor Party,17730,"FOREMAN, Matt",Liberal Party,6719,11011,False,2939
Burns Beach,https://www.elections.wa.gov.au/elections/state-elections/reports/2021-state-election-results-and-statistics-report,https://www.elections.wa.gov.au/sites/default/files/content/SGE%202021/SGE%202021%20Reports/3_21_Res_Stats_Leg_Assem_0.pdf,"FOLKARD, Mark",Australian Labor Party,29974,24526,916,25442,84.88,12264,"FOLKARD, Mark",Australian Labor Party,17193,"FOLKARD, Mark",Australian Labor Party,18849,"BOTHA, Trish",Liberal Party,5669,13180,False,1656
