district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Churchlands,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"ZEMPILAS, Basil",Liberal Party,31847,27912,823,28735,90.23,13957,"ZEMPILAS, Basil",Liberal Party,12199,"ZEMPILAS, Basil",Liberal Party,14271,"TONKIN, Christine",Australian Labor Party,13635,636,False,2072
Cockburn,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"SCAIFE, David",Australian Labor Party,32794,27252,1422,28674,87.44,13627,"SCAIFE, David",Australian Labor Party,14219,"SCAIFE, David",Australian Labor Party,18479,"DI RUSSO, Brunetta",Liberal Party,8764,9715,False,4260
Collie-Preston,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"HANNS, Jodie",Australian Labor Party,33150,27962,1412,29374,88.61,13982,"HANNS, Jodie",Australian Labor Party,11361,"HANNS, Jodie",Australian Labor Party,15177,"SHARP, Matt",Liberal Party,12760,2417,False,3816
Cottesloe,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"BREWER, Sandra",Liberal Party,33150,28840,657,29497,88.98,14421,"BREWER, Sandra",Liberal Party,14612,"BREWER, Sandra",Liberal Party,16019,"HORNCASTLE, Rachel",Independent,12817,3202,False,1407
Darling Range,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"JONES, Hugh",Australian Labor Party,32244,26828,1309,28137,87.26,13415,"JONES, Hugh",Australian Labor Party,10983,"JONES, Hugh",Australian Labor Party,14765,"MANSFIELD, Paul",Liberal Party,12046,2719,False,3782
Dawesville,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"MUNDAY, Lisa",Australian Labor Party,31507,26197,1014,27211,86.36,13099,"MUNDAY, Lisa",Australian Labor Party,10900,"MUNDAY, Lisa",Australian Labor Party,13430,"MULDER, Owen",Liberal Party,12761,669,False,2530
Forrestfield,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"PRICE, Stephen",Australian Labor Party,32923,27207,1286,28493,86.54,13604,"PRICE, Stephen",Australian Labor Party,11241,"PRICE, Stephen",Australian Labor Party,14707,"TILBURY, George",Liberal Party,12479,2228,False,3466
Fremantle,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"McGURK, Simone",Australian Labor Party,30650,25077,887,25964,84.71,12539,"McGURK, Simone",Australian Labor Party,8418,"McGURK, Simone",Australian Labor Party,12734,"HULETT, Kate",Independent,12310,424,False,4316
Geraldton,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"WARR, Kirrilee",The Nationals,32988,26261,1090,27351,82.91,13131,"WARR, Kirrilee",The Nationals,7452,"WARR, Kirrilee",The Nationals,16812,"DALTON, Lara",Australian Labor Party,9414,7398,False,9360
Girrawheen,https://www.elections.wa.gov.au/elections/state/reports,https://www.elections.wa.gov.au/sites/default/files/SGE2025/Reports/WAEC9467%20State%20Election%20Stats%2BResults%20Report%20WEB.pdf,"HAMMAT, Meredith",Australian Labor Party,32258,24761,1935,26696,82.76,12381,"HAMMAT, Meredith",Australian Labor Party,12915,"HAMMAT, Meredith",Australian Labor Party,17649,"LOMBARD, Jacques",Liberal Party,7090,10559,False,4734
