district,district_url,distribution_url,elected_member,elected_party,elected_members,members_to_elect,quota,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,candidate_status,candidate_elected,candidate_elected_order,votes
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/pdf/2025%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%20Count%2090.xlsx,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",Liberal Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Liberal Party; Independent; Australian Labor Party,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",7,8432,80566,67450,4543,71993,89.36,261,0,first,,,"ARCHER, Bridget",Liberal Party,Elected 1,True,1,13108
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/pdf/2025%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%20Count%2090.xlsx,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",Liberal Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Liberal Party; Independent; Australian Labor Party,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",7,8432,80566,67450,4543,71993,89.36,261,0,first,,,"FINLAY, Janie",Australian Labor Party,Elected 2,True,2,8797
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/pdf/2025%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%20Count%2090.xlsx,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",Liberal Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Liberal Party; Independent; Australian Labor Party,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",7,8432,80566,67450,4543,71993,89.36,261,0,first,,,"FERGUSON, Michael",Liberal Party,Elected 3,True,3,6881
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/pdf/2025%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%20Count%2090.xlsx,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",Liberal Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Liberal Party; Independent; Australian Labor Party,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",7,8432,80566,67450,4543,71993,89.36,261,0,first,,,"ROSOL, Cecily",Tasmanian Greens,Elected 4,True,4,6566
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/pdf/2025%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%20Count%2090.xlsx,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",Liberal Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Liberal Party; Independent; Australian Labor Party,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",7,8432,80566,67450,4543,71993,89.36,261,0,first,,,"FAIRS, Rob",Liberal Party,Elected 5,True,5,3717
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/pdf/2025%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%20Count%2090.xlsx,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",Liberal Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Liberal Party; Independent; Australian Labor Party,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",7,8432,80566,67450,4543,71993,89.36,261,0,first,,,"FRYDRYCH, Michal","Shooters, Fishers, Farmers TAS",Excluded,False,,2754
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/pdf/2025%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%20Count%2090.xlsx,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",Liberal Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Liberal Party; Independent; Australian Labor Party,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",7,8432,80566,67450,4543,71993,89.36,261,0,first,,,"RAZAY, George",Independent,Elected 6,True,6,2347
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/pdf/2025%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%20Count%2090.xlsx,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",Liberal Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Liberal Party; Independent; Australian Labor Party,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",7,8432,80566,67450,4543,71993,89.36,261,0,first,,,"LYONS, Geoff",Australian Labor Party,,False,,2339
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/pdf/2025%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%20Count%2090.xlsx,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",Liberal Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Liberal Party; Independent; Australian Labor Party,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",7,8432,80566,67450,4543,71993,89.36,261,0,first,,,"GREENE, Jess",Australian Labor Party,Elected 7,True,7,2256
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2025/results/bass/pdf/2025%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%20Count%2090.xlsx,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",Liberal Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Liberal Party; Independent; Australian Labor Party,"ARCHER, Bridget; FINLAY, Janie; FERGUSON, Michael; ROSOL, Cecily; FAIRS, Rob; RAZAY, George; GREENE, Jess",7,8432,80566,67450,4543,71993,89.36,261,0,first,,,"PENTLAND, Rebekah",Independent,Excluded,False,,1705
