district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Aston,https://results.aec.gov.au/13745/Website/HouseDivisionPage-13745-197.htm,https://results.aec.gov.au/13745/Website/HouseDop-13745-197.htm,"PEARCE, Chris",Liberal,91728,85812,2601,88413,96.39,8674,"PEARCE, Chris",Liberal,43519,"PEARCE, Chris",Liberal,47243,"RALEIGH, Gerry",Australian Labor Party,38569,8674,False,3724
Ballarat,https://results.aec.gov.au/13745/Website/HouseDivisionPage-13745-198.htm,https://results.aec.gov.au/13745/Website/HouseDop-13745-198.htm,"KING, Catherine",Australian Labor Party,93644,87808,2170,89978,96.09,14304,"KING, Catherine",Australian Labor Party,44191,"KING, Catherine",Australian Labor Party,51056,"MCINTOSH, Samantha",Liberal,36752,14304,False,6865
Batman,https://results.aec.gov.au/13745/Website/HouseDivisionPage-13745-199.htm,https://results.aec.gov.au/13745/Website/HouseDop-13745-199.htm,"FERGUSON, Martin",Australian Labor Party,87930,79661,3167,82828,94.2,41345,"FERGUSON, Martin",Australian Labor Party,45551,"FERGUSON, Martin",Australian Labor Party,60503,"PEART, Jonathan",Liberal,19158,41345,False,14952
Bendigo,https://results.aec.gov.au/13745/Website/HouseDivisionPage-13745-200.htm,https://results.aec.gov.au/13745/Website/HouseDop-13745-200.htm,"GIBBONS, Steve",Australian Labor Party,97129,89970,3305,93275,96.03,11038,"GIBBONS, Steve",Australian Labor Party,42410,"GIBBONS, Steve",Australian Labor Party,50504,"KENNEDY, Peter",Liberal,39466,11038,False,8094
Bruce,https://results.aec.gov.au/13745/Website/HouseDivisionPage-13745-201.htm,https://results.aec.gov.au/13745/Website/HouseDop-13745-201.htm,"GRIFFIN, Alan",Australian Labor Party,88434,80531,3106,83637,94.58,13401,"GRIFFIN, Alan",Australian Labor Party,41754,"GRIFFIN, Alan",Australian Labor Party,46966,"RANDALL, Angela",Liberal,33565,13401,False,5212
Calwell,https://results.aec.gov.au/13745/Website/HouseDivisionPage-13745-203.htm,https://results.aec.gov.au/13745/Website/HouseDop-13745-203.htm,"VAMVAKINOU, Maria",Australian Labor Party,95608,86270,4399,90669,94.83,33344,"VAMVAKINOU, Maria",Australian Labor Party,51952,"VAMVAKINOU, Maria",Australian Labor Party,59807,"LIVETT, Dianne",Liberal,26463,33344,False,7855
Casey,https://results.aec.gov.au/13745/Website/HouseDivisionPage-13745-204.htm,https://results.aec.gov.au/13745/Website/HouseDop-13745-204.htm,"SMITH, Tony",Liberal,89302,83538,2389,85927,96.22,9914,"SMITH, Tony",Liberal,41897,"SMITH, Tony",Liberal,46726,"BEARD, Dympna",Australian Labor Party,36812,9914,False,4829
Chisholm,https://results.aec.gov.au/13745/Website/HouseDivisionPage-13745-205.htm,https://results.aec.gov.au/13745/Website/HouseDop-13745-205.htm,"BURKE, Anna",Australian Labor Party,86084,79874,2139,82013,95.27,11792,"BURKE, Anna",Australian Labor Party,38439,"BURKE, Anna",Australian Labor Party,45833,"KING, Myles",Liberal,34041,11792,False,7394
Corangamite,https://results.aec.gov.au/13745/Website/HouseDivisionPage-13745-207.htm,https://results.aec.gov.au/13745/Website/HouseDop-13745-207.htm,"CHEESEMAN, Darren",Australian Labor Party,96133,90394,2347,92741,96.47,1542,"McARTHUR, Stewart",Liberal,40408,"CHEESEMAN, Darren",Australian Labor Party,45968,"McARTHUR, Stewart",Liberal,44426,1542,True,8082
Corio,https://results.aec.gov.au/13745/Website/HouseDivisionPage-13745-208.htm,https://results.aec.gov.au/13745/Website/HouseDop-13745-208.htm,"MARLES, Richard",Australian Labor Party,90390,83041,3213,86254,95.42,14837,"MARLES, Richard",Australian Labor Party,37778,"MARLES, Richard",Australian Labor Party,48939,"KAKOUROS, Angelo",Liberal,34102,14837,False,11161
