district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Adelaide,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-179.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-179.htm,"GEORGANAS, Steve",Australian Labor Party,131436,114089,4478,118567,90.21,43503,"GEORGANAS, Steve",Australian Labor Party,53036,"GEORGANAS, Steve",Australian Labor Party,78796,"GRANTHAM, Amy",Liberal,35293,43503,False,25760
Aston,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-197.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-197.htm,"DOYLE, Mary",Australian Labor Party,122459,109849,5814,115663,94.45,7531,"CICCHIELLO, Manny",Liberal,41382,"DOYLE, Mary",Australian Labor Party,58690,"CICCHIELLO, Manny",Liberal,51159,7531,True,17764
Ballarat,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-198.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-198.htm,"KING, Catherine",Australian Labor Party,116238,104540,3955,108495,93.34,22298,"KING, Catherine",Australian Labor Party,44273,"KING, Catherine",Australian Labor Party,63419,"DORAN, Paula",Liberal,41121,22298,False,19146
Banks,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-103.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-103.htm,"SOON, Zhi",Australian Labor Party,119323,98935,10998,109933,92.13,4725,"COLEMAN, David",Liberal,38683,"SOON, Zhi",Labor,51830,"COLEMAN, David",Liberal,47105,4725,True,15791
Barker,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-180.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-180.htm,"PASIN, Tony",Liberal,127045,108714,8934,117648,92.6,28216,"PASIN, Tony",Liberal,52460,"PASIN, Tony",Liberal,68465,"ROTHE, James",Australian Labor Party,40249,28216,False,16005
Barton,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-104.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-104.htm,"AMBIHAIPAHAR, Ash",Australian Labor Party,120761,99951,10256,110207,91.26,31991,"AMBIHAIPAHAR, Ash",Labor,47098,"AMBIHAIPAHAR, Ash",Labor,65971,"DOUSKOU, Fiona",Liberal,33980,31991,False,18873
Bass,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-192.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-192.htm,"TEESDALE, Jess",Australian Labor Party,80378,71594,3031,74625,92.84,11470,"TEESDALE, Jess",Australian Labor Party,28375,"TEESDALE, Jess",Australian Labor Party,41532,"ARCHER, Bridget Kathleen",Liberal,30062,11470,False,13157
Bean,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-318.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-318.htm,"SMITH, David",Australian Labor Party,113876,102700,2670,105370,92.53,700,"SMITH, David",Australian Labor Party,42158,"SMITH, David",Australian Labor Party,51700,"PRICE, Jessie",Independent,51000,700,False,9542
Bendigo,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-200.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-200.htm,"CHESTERS, Lisa",Australian Labor Party,120088,106617,6228,112845,93.97,2983,"CHESTERS, Lisa",Australian Labor Party,35771,"CHESTERS, Lisa",Australian Labor Party,54800,"LETHLEAN, Andrew",The Nationals,51817,2983,False,19029
Bennelong,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-105.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-105.htm,"LAXALE, Jerome",Australian Labor Party,125953,109812,7196,117008,92.9,20340,"LAXALE, Jerome",Labor,49801,"LAXALE, Jerome",Labor,65076,"YUNG, Scott",Liberal,44736,20340,False,15275
Berowra,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-106.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-106.htm,"LEESER, Julian",Liberal,130869,115568,7892,123460,94.34,3778,"LEESER, Julian",Liberal,48210,"LEESER, Julian",Liberal,59673,"KOSCHINSKI, Benson",Labor,55895,3778,False,11463
Blair,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-304.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-304.htm,"NEUMANN, Shayne",Australian Labor Party,142006,116953,8219,125172,88.15,13359,"NEUMANN, Shayne",Australian Labor Party,42825,"NEUMANN, Shayne",Australian Labor Party,65156,"MUTZELBURG, Carl",LNP,51797,13359,False,22331
Blaxland,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-107.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-107.htm,"CLARE, Jason",Australian Labor Party,116715,86886,12822,99708,85.43,38062,"CLARE, Jason",Labor,40001,"CLARE, Jason",Labor,62474,"NGUYEN, Courtney",Liberal,24412,38062,False,22473
Bonner,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-310.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-310.htm,"COOK, Kara",Australian Labor Party,113498,99106,4597,103703,91.37,9906,"COOK, Kara",Australian Labor Party,39154,"COOK, Kara",Australian Labor Party,54506,"VASTA, Ross",LNP,44600,9906,False,15352
Boothby,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-182.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-182.htm,"MILLER-FROST, Louise",Australian Labor Party,129524,117339,3113,120452,93,26057,"MILLER-FROST, Louise",Australian Labor Party,50015,"MILLER-FROST, Louise",Australian Labor Party,71698,"FLINT, Nicolle",Liberal,45641,26057,False,21683
Bowman,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-155.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-155.htm,"PIKE, Henry",Liberal National Party of Queensland,122940,107987,3986,111973,91.08,5243,"PIKE, Henry",LNP,42777,"PIKE, Henry",LNP,56615,"BROWN, Darcy",Australian Labor Party,51372,5243,False,13838
Braddon,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-193.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-193.htm,"URQUHART, Anne",Australian Labor Party,84244,74840,3553,78393,93.05,10778,"URQUHART, Anne",Australian Labor Party,29579,"URQUHART, Anne",Australian Labor Party,42809,"HINGSTON, Mal",Liberal,32031,10778,False,13230
Bradfield,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-108.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-108.htm,"BOELE, Nicolette",Independent,126860,112202,6656,118858,93.69,26,"KAPTERIAN, Gisele",Liberal,42676,"BOELE, Nicolette",Independent,56114,"KAPTERIAN, Gisele",Liberal,56088,26,True,25805
Brand,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-235.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-235.htm,"KING, Madeleine",Australian Labor Party,112457,93793,3283,97076,86.32,31739,"KING, Madeleine",Australian Labor Party,43014,"KING, Madeleine",Australian Labor Party,62766,"MOODY, Claire",Liberal,31027,31739,False,19752
Brisbane,https://results.aec.gov.au/31496/Website/HouseDivisionPage-31496-156.htm,https://results.aec.gov.au/31496/Website/HouseDop-31496-156.htm,"JARRETT, Madonna",Australian Labor Party,127512,110745,3645,114390,89.71,19845,"EVANS, Trevor",LNP,37951,"JARRETT, Madonna",Australian Labor Party,65295,"EVANS, Trevor",LNP,45450,19845,True,29688
