district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
"Broward County, Florida",https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Patrick Murphy,Democratic,0,820035,0,820035,0,244166,0,first,,,Steven Machat,Other,1631,Florida,US-SENATE-COUNTY-12011,compiled,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
"Broward County, Florida",https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Patrick Murphy,Democratic,0,820035,0,820035,0,244166,0,first,,,Basil E. Dalack,Other,1277,Florida,US-SENATE-COUNTY-12011,compiled,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
"Broward County, Florida",https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Patrick Murphy,Democratic,0,820035,0,820035,0,244166,0,first,,,Nan,Other,956,Florida,US-SENATE-COUNTY-12011,compiled,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
"Calhoun County, Florida",https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Marco Rubio,Republican,0,6009,0,6009,0,3056,0,first,,,Marco Rubio,Republican,4331,Florida,US-SENATE-COUNTY-12013,compiled,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
"Calhoun County, Florida",https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Marco Rubio,Republican,0,6009,0,6009,0,3056,0,first,,,Patrick Murphy,Democratic,1275,Florida,US-SENATE-COUNTY-12013,compiled,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
"Calhoun County, Florida",https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Marco Rubio,Republican,0,6009,0,6009,0,3056,0,first,,,Paul Stanton,Other,154,Florida,US-SENATE-COUNTY-12013,compiled,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
"Calhoun County, Florida",https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Marco Rubio,Republican,0,6009,0,6009,0,3056,0,first,,,Bruce Nathan,Other,148,Florida,US-SENATE-COUNTY-12013,compiled,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
"Calhoun County, Florida",https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Marco Rubio,Republican,0,6009,0,6009,0,3056,0,first,,,Steven Machat,Other,40,Florida,US-SENATE-COUNTY-12013,compiled,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
"Calhoun County, Florida",https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Marco Rubio,Republican,0,6009,0,6009,0,3056,0,first,,,Tony Khoury,Other,38,Florida,US-SENATE-COUNTY-12013,compiled,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
"Calhoun County, Florida",https://electionlab.mit.edu/data,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/,Marco Rubio,Republican,0,6009,0,6009,0,3056,0,first,,,Basil E. Dalack,Other,19,Florida,US-SENATE-COUNTY-12013,compiled,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the official FEC state compilation. Concurrent special elections are excluded.
