district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Mount Druitt,https://pastvtr.elections.nsw.gov.au/SG2301/LA/mount-druitt/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/mount-druitt/dop/dop,ATALLA Edmond,Australian Labor Party (NSW Branch),62334,48746,2759,51505,82.63,24374,ATALLA Edmond,Australian Labor Party (NSW Branch),29710,ATALLA Edmond,Australian Labor Party (NSW Branch),32606,SUNIL JAYADEVAN Kandathil,"The Liberal Party of Australia, New South Wales Division",12435,20171,False,2896
Murray,https://pastvtr.elections.nsw.gov.au/SG2301/LA/murray/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/murray/dop/dop,DALTON Helen,Independent,59138,49415,1631,51046,86.32,24708,DALTON Helen,Independent,24824,DALTON Helen,Independent,27260,BETTS Peta,National Party of Australia - NSW,14035,13225,False,2436
Myall Lakes,https://pastvtr.elections.nsw.gov.au/SG2301/LA/myall-lakes/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/myall-lakes/dop/dop,THOMPSON Tanya,National Party of Australia - NSW,61336,52686,1786,54472,88.81,26344,THOMPSON Tanya,National Party of Australia - NSW,24809,THOMPSON Tanya,National Party of Australia - NSW,28362,VANSTONE Mark,Australian Labor Party (NSW Branch),14731,13631,False,3553
Newcastle,https://pastvtr.elections.nsw.gov.au/SG2301/LA/newcastle/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/newcastle/dop/dop,CRAKANTHORP Tim,Australian Labor Party (NSW Branch),59443,50736,1162,51898,87.31,25369,CRAKANTHORP Tim,Australian Labor Party (NSW Branch),25078,CRAKANTHORP Tim,Australian Labor Party (NSW Branch),33422,TRIEBSEES Thomas,"The Liberal Party of Australia, New South Wales Division",12620,20802,False,8344
Newtown,https://pastvtr.elections.nsw.gov.au/SG2301/LA/newtown/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/newtown/dop/dop,LEONG Jenny,The Greens NSW,59588,49502,769,50271,84.36,24752,LEONG Jenny,The Greens NSW,26758,LEONG Jenny,The Greens NSW,28015,HETHERINGTON David,Australian Labor Party (NSW Branch),17094,10921,False,1257
North Shore,https://pastvtr.elections.nsw.gov.au/SG2301/LA/north-shore/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/north-shore/dop/dop,WILSON Felicity,"The Liberal Party of Australia, New South Wales Division",56443,48177,945,49122,87.03,24089,WILSON Felicity,"The Liberal Party of Australia, New South Wales Division",21308,WILSON Felicity,"The Liberal Party of Australia, New South Wales Division",23040,CONWAY Helen,Independent,18329,4711,False,1732
Northern Tablelands,https://pastvtr.elections.nsw.gov.au/SG2301/LA/northern-tablelands/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/northern-tablelands/dop/dop,MARSHALL Adam,National Party of Australia - NSW,57880,49655,1039,50694,87.58,24828,MARSHALL Adam,National Party of Australia - NSW,35575,MARSHALL Adam,National Party of Australia - NSW,37654,LANGENBERG Yvonne,Australian Labor Party (NSW Branch),7255,30399,False,2079
Oatley,https://pastvtr.elections.nsw.gov.au/SG2301/LA/oatley/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/oatley/dop/dop,COURE Mark,"The Liberal Party of Australia, New South Wales Division",57351,50196,1625,51821,90.36,25099,COURE Mark,"The Liberal Party of Australia, New South Wales Division",22877,COURE Mark,"The Liberal Party of Australia, New South Wales Division",23959,AMBIHAIPAHAR Ash,Australian Labor Party (NSW Branch),23205,754,False,1082
Orange,https://pastvtr.elections.nsw.gov.au/SG2301/LA/orange/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/orange/dop/dop,DONATO Philip,Independent,57960,50518,1377,51895,89.54,25260,DONATO Philip,Independent,26815,DONATO Philip,Independent,31212,MILETO Tony,National Party of Australia - NSW,12225,18987,False,4397
Oxley,https://pastvtr.elections.nsw.gov.au/SG2301/LA/oxley/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/oxley/dop/dop,KEMP Michael,National Party of Australia - NSW,62816,52608,1880,54488,86.74,26305,KEMP Michael,National Party of Australia - NSW,24987,KEMP Michael,National Party of Australia - NSW,27132,VIGORS Gregory,Australian Labor Party (NSW Branch),16047,11085,False,2145
Parramatta,https://pastvtr.elections.nsw.gov.au/SG2301/LA/parramatta/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/parramatta/dop/dop,DAVIS Donna,Australian Labor Party (NSW Branch),57995,48281,1519,49800,85.87,24141,DAVIS Donna,Australian Labor Party (NSW Branch),22704,DAVIS Donna,Australian Labor Party (NSW Branch),26355,MULLENS Katie,"The Liberal Party of Australia, New South Wales Division",18655,7700,False,3651
Penrith,https://pastvtr.elections.nsw.gov.au/SG2301/LA/penrith/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/penrith/dop/dop,McKEOWN Karen,Australian Labor Party (NSW Branch),59658,50344,2047,52391,87.82,25173,AYRES Stuart,"The Liberal Party of Australia, New South Wales Division",19266,McKEOWN Karen,Australian Labor Party (NSW Branch),22661,AYRES Stuart,"The Liberal Party of Australia, New South Wales Division",21226,1435,True,3399
Pittwater,https://pastvtr.elections.nsw.gov.au/SG2301/LA/pittwater/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/pittwater/dop/dop,AMON Roderick (Rory),"The Liberal Party of Australia, New South Wales Division",56181,49511,1139,50650,90.16,24756,AMON Roderick (Rory),"The Liberal Party of Australia, New South Wales Division",22137,AMON Roderick (Rory),"The Liberal Party of Australia, New South Wales Division",23365,SCRUBY Jacqui,Independent,22759,606,False,1228
Port Macquarie,https://pastvtr.elections.nsw.gov.au/SG2301/LA/port-macquarie/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/port-macquarie/dop/dop,WILLIAMS Leslie,"The Liberal Party of Australia, New South Wales Division",61078,53330,1559,54889,89.87,26666,WILLIAMS Leslie,"The Liberal Party of Australia, New South Wales Division",21044,WILLIAMS Leslie,"The Liberal Party of Australia, New South Wales Division",25372,PINSON Peta,National Party of Australia - NSW,16379,8993,False,4328
Port Stephens,https://pastvtr.elections.nsw.gov.au/SG2301/LA/port-stephens/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/port-stephens/dop/dop,WASHINGTON Kate,Australian Labor Party (NSW Branch),60278,52161,1511,53672,89.04,26081,WASHINGTON Kate,Australian Labor Party (NSW Branch),27957,WASHINGTON Kate,Australian Labor Party (NSW Branch),30777,ERRINGTON Nathan,"The Liberal Party of Australia, New South Wales Division",13812,16965,False,2820
Prospect,https://pastvtr.elections.nsw.gov.au/SG2301/LA/prospect/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/prospect/dop/dop,McDERMOTT Hugh,Australian Labor Party (NSW Branch),58840,49699,2375,52074,88.5,24850,McDERMOTT Hugh,Australian Labor Party (NSW Branch),24519,McDERMOTT Hugh,Australian Labor Party (NSW Branch),27175,BIAG Kalvin,"The Liberal Party of Australia, New South Wales Division",19137,8038,False,2656
Riverstone,https://pastvtr.elections.nsw.gov.au/SG2301/LA/riverstone/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/riverstone/dop/dop,KIRBY Warren,Australian Labor Party (NSW Branch),63427,55575,1793,57368,90.45,27788,KIRBY Warren,Australian Labor Party (NSW Branch),24580,KIRBY Warren,Australian Labor Party (NSW Branch),27662,KUMAR Mohit,"The Liberal Party of Australia, New South Wales Division",23848,3814,False,3082
Rockdale,https://pastvtr.elections.nsw.gov.au/SG2301/LA/rockdale/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/rockdale/dop/dop,KAMPER Steve,Australian Labor Party (NSW Branch),56797,47071,2378,49449,87.06,23536,KAMPER Steve,Australian Labor Party (NSW Branch),24893,KAMPER Steve,Australian Labor Party (NSW Branch),28468,RANA Muhammad,"The Liberal Party of Australia, New South Wales Division",15086,13382,False,3575
Ryde,https://pastvtr.elections.nsw.gov.au/SG2301/LA/ryde/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/ryde/dop/dop,LANE Jordan,"The Liberal Party of Australia, New South Wales Division",61829,53840,1441,55281,89.41,26921,LANE Jordan,"The Liberal Party of Australia, New South Wales Division",24383,LANE Jordan,"The Liberal Party of Australia, New South Wales Division",25431,HOWISON Lyndal,Australian Labor Party (NSW Branch),25377,54,False,1048
Shellharbour,https://pastvtr.elections.nsw.gov.au/SG2301/LA/shellharbour/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/shellharbour/dop/dop,WATSON Anna,Australian Labor Party (NSW Branch),60799,52395,2049,54444,89.55,26198,WATSON Anna,Australian Labor Party (NSW Branch),26418,WATSON Anna,Australian Labor Party (NSW Branch),29403,HOMER Chris,Independent,14390,15013,False,2985
South Coast,https://pastvtr.elections.nsw.gov.au/SG2301/LA/south-coast/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/south-coast/dop/dop,BUTLER Liza,Australian Labor Party (NSW Branch),60624,51285,1797,53082,87.56,25643,SIKORA Luke,"The Liberal Party of Australia, New South Wales Division",17806,BUTLER Liza,Australian Labor Party (NSW Branch),23068,SIKORA Luke,"The Liberal Party of Australia, New South Wales Division",19834,3234,True,5654
Strathfield,https://pastvtr.elections.nsw.gov.au/SG2301/LA/strathfield/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/strathfield/dop/dop,LI Jason Yat-Sen,Australian Labor Party (NSW Branch),58791,50618,1495,52113,88.64,25310,LI Jason Yat-Sen,Australian Labor Party (NSW Branch),26249,LI Jason Yat-Sen,Australian Labor Party (NSW Branch),30228,BALADI John-Paul,"The Liberal Party of Australia, New South Wales Division",17717,12511,False,3979
Summer Hill,https://pastvtr.elections.nsw.gov.au/SG2301/LA/summer-hill/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/summer-hill/dop/dop,HAYLEN Jo,Australian Labor Party (NSW Branch),57642,49758,1277,51035,88.54,24880,HAYLEN Jo,Australian Labor Party (NSW Branch),25922,HAYLEN Jo,Australian Labor Party (NSW Branch),28598,ANTONIOU Izabella,The Greens NSW,14536,14062,False,2676
Swansea,https://pastvtr.elections.nsw.gov.au/SG2301/LA/swansea/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/swansea/dop/dop,CATLEY Yasmin,Australian Labor Party (NSW Branch),60916,52167,2010,54177,88.94,26084,CATLEY Yasmin,Australian Labor Party (NSW Branch),27943,CATLEY Yasmin,Australian Labor Party (NSW Branch),30972,ANDERSON Megan,"The Liberal Party of Australia, New South Wales Division",16351,14621,False,3029
Sydney,https://pastvtr.elections.nsw.gov.au/SG2301/LA/sydney/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/sydney/dop/dop,GREENWICH Alex,Independent,62489,48740,900,49640,79.44,24371,GREENWICH Alex,Independent,20025,GREENWICH Alex,Independent,26600,TITO Skye,Australian Labor Party (NSW Branch),13921,12679,False,6575
Tamworth,https://pastvtr.elections.nsw.gov.au/SG2301/LA/tamworth/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/tamworth/dop/dop,ANDERSON Kevin,National Party of Australia - NSW,60747,52875,1374,54249,89.3,26438,ANDERSON Kevin,National Party of Australia - NSW,27333,ANDERSON Kevin,National Party of Australia - NSW,29998,RODDA Mark,Independent,15601,14397,False,2665
Terrigal,https://pastvtr.elections.nsw.gov.au/SG2301/LA/terrigal/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/terrigal/dop/dop,CROUCH Adam,"The Liberal Party of Australia, New South Wales Division",58056,50470,1270,51740,89.12,25236,CROUCH Adam,"The Liberal Party of Australia, New South Wales Division",23507,CROUCH Adam,"The Liberal Party of Australia, New South Wales Division",24467,BOUGHTON Sam,Australian Labor Party (NSW Branch),23300,1167,False,960
The Entrance,https://pastvtr.elections.nsw.gov.au/SG2301/LA/the-entrance/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/the-entrance/dop/dop,MEHAN David,Australian Labor Party (NSW Branch),58657,49191,1688,50879,86.74,24596,MEHAN David,Australian Labor Party (NSW Branch),22153,MEHAN David,Australian Labor Party (NSW Branch),25782,BRACKEN Nathan,"The Liberal Party of Australia, New South Wales Division",18793,6989,False,3629
Tweed,https://pastvtr.elections.nsw.gov.au/SG2301/LA/tweed/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/tweed/dop/dop,PROVEST Geoff,National Party of Australia - NSW,57646,46690,1777,48467,84.08,23346,PROVEST Geoff,National Party of Australia - NSW,20494,PROVEST Geoff,National Party of Australia - NSW,22075,ELLIOT Craig,Australian Labor Party (NSW Branch),19125,2950,False,1581
Upper Hunter,https://pastvtr.elections.nsw.gov.au/SG2301/LA/upper-hunter/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/upper-hunter/dop/dop,LAYZELL Dave,National Party of Australia - NSW,62282,53660,1871,55531,89.16,26831,LAYZELL Dave,National Party of Australia - NSW,19868,LAYZELL Dave,National Party of Australia - NSW,22964,WATSON Peree,Australian Labor Party (NSW Branch),19732,3232,False,3096
Vaucluse,https://pastvtr.elections.nsw.gov.au/SG2301/LA/vaucluse/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/vaucluse/dop/dop,SLOANE Kellie,"The Liberal Party of Australia, New South Wales Division",59352,48263,1055,49318,83.09,24132,SLOANE Kellie,"The Liberal Party of Australia, New South Wales Division",24184,SLOANE Kellie,"The Liberal Party of Australia, New South Wales Division",25763,FREYER Karen,Independent,15206,10557,False,1579
Wagga Wagga,https://pastvtr.elections.nsw.gov.au/SG2301/LA/wagga-wagga/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/wagga-wagga/dop/dop,McGIRR Joe,Independent,57413,49310,1721,51031,88.88,24656,McGIRR Joe,Independent,21783,McGIRR Joe,Independent,28435,BENJAMIN Andrianna,National Party of Australia - NSW,10847,17588,False,6652
Wahroonga,https://pastvtr.elections.nsw.gov.au/SG2301/LA/wahroonga/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/wahroonga/dop/dop,HENSKENS Alister,"The Liberal Party of Australia, New South Wales Division",59086,52959,1116,54075,91.52,26480,HENSKENS Alister,"The Liberal Party of Australia, New South Wales Division",26727,HENSKENS Alister,"The Liberal Party of Australia, New South Wales Division",28940,ABEDINI Parsia,Australian Labor Party (NSW Branch),18849,10091,False,2213
Wakehurst,https://pastvtr.elections.nsw.gov.au/SG2301/LA/wakehurst/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/wakehurst/dop/dop,REGAN Michael,Independent,58085,51334,1353,52687,90.71,25668,WILLIAMS Toby,"The Liberal Party of Australia, New South Wales Division",18940,REGAN Michael,Independent,24589,WILLIAMS Toby,"The Liberal Party of Australia, New South Wales Division",20555,4034,True,6159
Wallsend,https://pastvtr.elections.nsw.gov.au/SG2301/LA/wallsend/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/wallsend/dop/dop,HORNERY Sonia,Australian Labor Party (NSW Branch),60138,51808,1365,53173,88.42,25905,HORNERY Sonia,Australian Labor Party (NSW Branch),33127,HORNERY Sonia,Australian Labor Party (NSW Branch),38043,PULL Callum,"The Liberal Party of Australia, New South Wales Division",8489,29554,False,4916
Willoughby,https://pastvtr.elections.nsw.gov.au/SG2301/LA/willoughby/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/willoughby/dop/dop,JAMES Tim,"The Liberal Party of Australia, New South Wales Division",60285,52830,1014,53844,89.32,26416,JAMES Tim,"The Liberal Party of Australia, New South Wales Division",23032,JAMES Tim,"The Liberal Party of Australia, New South Wales Division",24727,PENN Larissa,Independent,22277,2450,False,1695
Winston Hills,https://pastvtr.elections.nsw.gov.au/SG2301/LA/winston-hills/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/winston-hills/dop/dop,TAYLOR Mark,"The Liberal Party of Australia, New South Wales Division",61457,53212,1813,55025,89.53,26607,TAYLOR Mark,"The Liberal Party of Australia, New South Wales Division",25251,TAYLOR Mark,"The Liberal Party of Australia, New South Wales Division",26203,PANDEY Sameer,Australian Labor Party (NSW Branch),24381,1822,False,952
Wollondilly,https://pastvtr.elections.nsw.gov.au/SG2301/LA/wollondilly/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/wollondilly/dop/dop,HANNAN Judy,Independent,59758,52369,1698,54067,90.48,26185,SMITH Nathaniel,"The Liberal Party of Australia, New South Wales Division",17712,HANNAN Judy,Independent,21588,SMITH Nathaniel,"The Liberal Party of Australia, New South Wales Division",20312,1276,True,8002
Wollongong,https://pastvtr.elections.nsw.gov.au/SG2301/LA/wollongong/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/wollongong/dop/dop,SCULLY Paul,Australian Labor Party (NSW Branch),58845,49062,2011,51073,86.79,24532,SCULLY Paul,Australian Labor Party (NSW Branch),27723,SCULLY Paul,Australian Labor Party (NSW Branch),33962,JOHNSON Joel,"The Liberal Party of Australia, New South Wales Division",11727,22235,False,6239
Wyong,https://pastvtr.elections.nsw.gov.au/SG2301/LA/wyong/cc/fp_summary,https://pastvtr.elections.nsw.gov.au/SG2301/LA/wyong/dop/dop,HARRIS David,Australian Labor Party (NSW Branch),56809,47046,1968,49014,86.28,23524,HARRIS David,Australian Labor Party (NSW Branch),24575,HARRIS David,Australian Labor Party (NSW Branch),27899,SQUIRES Matt,"The Liberal Party of Australia, New South Wales Division",12048,15851,False,3324
