district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Maribyrnong,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-225.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-225.htm,"SHORTEN, Bill",Australian Labor Party,110286,93834,4568,98402,89.22,23096,"SHORTEN, Bill",Australian Labor Party,47402,"SHORTEN, Bill",Australian Labor Party,58465,"HATZAKORTZIAN, Ted",Liberal,35369,23096,False,11063
McEwen,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-226.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-226.htm,"MITCHELL, Rob",Australian Labor Party,130612,113200,7189,120389,92.17,17764,"MITCHELL, Rob",Australian Labor Party,50588,"MITCHELL, Rob",Australian Labor Party,65482,"JERMYN, Chris",Liberal,47718,17764,False,14894
McMillan,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-227.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-227.htm,"BROADBENT, Russell",Liberal,116200,100921,6115,107036,92.11,12165,"BROADBENT, Russell",Liberal,48304,"BROADBENT, Russell",Liberal,56543,"BUCKINGHAM, Chris",Australian Labor Party,44378,12165,False,8239
Melbourne,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-228.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-228.htm,"BANDT, Adam",The Greens,111741,94579,2404,96983,86.79,34963,"BANDT, Adam",The Greens,41377,"BANDT, Adam",The Greens,64771,"LIU, Le",Liberal,29808,34963,False,23394
Melbourne Ports,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-230.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-230.htm,"DANBY, Michael",Australian Labor Party,102283,84809,3756,88565,86.59,2337,"GUEST, Owen",Liberal,35533,"DANBY, Michael",Australian Labor Party,43573,"GUEST, Owen",Liberal,41236,2337,True,20676
Menzies,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-229.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-229.htm,"ANDREWS, Kevin",Liberal,99205,87257,4615,91872,92.61,18427,"ANDREWS, Kevin",Liberal,45133,"ANDREWS, Kevin",Liberal,52842,"RUNDELL, Adam",Australian Labor Party,34415,18427,False,7709
Murray,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-231.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-231.htm,"DRUM, Damian",The Nationals,104359,88016,8530,96546,92.51,9038,"DRUM, Damian",The Nationals,31105,"DRUM, Damian",The Nationals,48527,"MCGAUCHIE, Duncan",Liberal,39489,9038,False,17422
Scullin,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-232.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-232.htm,"GILES, Andrew",Australian Labor Party,110570,95678,5164,100842,91.2,33060,"GILES, Andrew",Australian Labor Party,54541,"GILES, Andrew",Australian Labor Party,64369,"STOCKMAN, Melanie",Liberal,31309,33060,False,9828
Wannon,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-233.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-233.htm,"TEHAN, Dan",Liberal,99155,89255,3681,92936,93.73,15995,"TEHAN, Dan",Liberal,47513,"TEHAN, Dan",Liberal,52625,"BARLING, Michael David",Australian Labor Party,36630,15995,False,5112
Wills,https://results.aec.gov.au/20499/Website/HouseDivisionPage-20499-234.htm,https://results.aec.gov.au/20499/Website/HouseDop-20499-234.htm,"KHALIL, Peter",Australian Labor Party,113851,94108,6807,100915,88.64,9184,"KHALIL, Peter",Australian Labor Party,35431,"KHALIL, Peter",Australian Labor Party,51646,"RATNAM, Samantha",The Greens,42462,9184,False,16215
