district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Albert Park,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results/albert-park-results-distribution,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,48788,39110,1396,40506,83.02,,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,14254,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,23916,"SHERSON, Lauren",Liberal,15194,8722,False,9662
Ashwood,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ashwood-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ashwood-district-results/ashwood-results-distribution,"FREGON, Matt",Australian Labor Party - Victorian Branch,51209,44710,1565,46275,90.36,,"FREGON, Matt",Australian Labor Party - Victorian Branch,18014,"FREGON, Matt",Australian Labor Party - Victorian Branch,25106,"JUDAH, Asher",Liberal,19604,5502,False,7092
Bass,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results/bass-results-distribution,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,49984,41404,3135,44539,89.11,,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,13478,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,20803,"BROWN, Aaron",Liberal,20601,202,False,7325
Bayswater,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bayswater-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bayswater-district-results/bayswater-results-distribution,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,49707,42599,2512,45111,90.75,,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,17609,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,23101,"WAKELING, Nick",Liberal,19498,3603,False,5492
Bellarine,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bellarine-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bellarine-district-results/bellarine-results-distribution,"MARCHANT, Alison",Australian Labor Party - Victorian Branch,55022,47153,2156,49309,89.62,,"MARCHANT, Alison",Australian Labor Party - Victorian Branch,20103,"MARCHANT, Alison",Australian Labor Party - Victorian Branch,27567,"GRIGAU, Donnie",Liberal,19586,7981,False,7464
Benambra,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/benambra-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/benambra-district-results/benambra-results-distribution,"TILLEY, Bill",Liberal,50045,41135,2099,43234,86.39,,"TILLEY, Bill",Liberal,17658,"TILLEY, Bill",Liberal,20956,"HAWKINS, Jacqui",Independent,20179,777,False,3298
Bendigo East,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-east-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-east-district-results/bendigo-east-results-distribution,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,53134,45568,2184,47752,89.87,,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,22010,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,22802,"SCHADE, Darin",Liberal,13450,9352,False,792
Bendigo West,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-west-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-west-district-results/bendigo-west-results-distribution,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,47808,40248,2401,42649,89.21,,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,18704,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,20396,"PRICE, Ken",Liberal,13233,7163,False,1692
Bentleigh,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bentleigh-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bentleigh-district-results/bentleigh-results-distribution,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,51415,45120,1408,46528,90.49,,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,20656,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,26188,"TAYLOR-HAYNES, Debbie",Liberal,18932,7256,False,5532
Berwick,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/berwick-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/berwick-district-results/berwick-results-distribution,"BATTIN, Brad",Liberal,51910,44289,1875,46164,88.93,,"BATTIN, Brad",Liberal,20031,"BATTIN, Brad",Liberal,22192,"ZAVEER, Malik",Australian Labor Party - Victorian Branch,16503,5689,False,2161
Box Hill,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/box-hill-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/box-hill-district-results/box-hill-results-distribution,"HAMER, Paul",Australian Labor Party - Victorian Branch,50799,44356,1635,45991,90.54,,"HAMER, Paul",Australian Labor Party - Victorian Branch,18340,"HAMER, Paul",Australian Labor Party - Victorian Branch,25383,"WERNER, Nicole Ta-Ei",Liberal,18973,6410,False,7043
Brighton,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brighton-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brighton-district-results/brighton-results-distribution,"NEWBURY, James",Liberal,48260,41196,1786,42982,89.06,,"NEWBURY, James",Liberal,18791,"NEWBURY, James",Liberal,20730,"CRAWFORD, Louise",Australian Labor Party - Victorian Branch,11850,8880,False,1939
Broadmeadows,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/broadmeadows-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/broadmeadows-district-results/broadmeadows-results-distribution,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,48414,34780,4198,38978,80.51,,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,15899,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,18063,"DUZOVA, Baris",Liberal,10416,7647,False,2164
Brunswick,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brunswick-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brunswick-district-results/brunswick-results-distribution,"READ, Tim",Australian Greens,52263,43445,1733,45178,86.44,,"READ, Tim",Australian Greens,18959,"READ, Tim",Australian Greens,23959,"WILLIAMS, Mike",Australian Labor Party - Victorian Branch,13854,10105,False,5000
Bulleen,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bulleen-district-results,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bulleen-district-results/bulleen-results-distribution,"GUY, Matthew",Liberal,50496,42959,2326,45285,89.68,,"GUY, Matthew",Liberal,20645,"GUY, Matthew",Liberal,22374,"ROGERS, Ian",Australian Labor Party - Victorian Branch,14829,7545,False,1729
