district,district_url,distribution_url,elected_member,elected_party,elected_members,elected_parties,members_to_elect,quota,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
New South Wales,https://results.aec.gov.au/27966/Website/SenateStateFirstPrefsByGroup-27966-NSW.htm,https://results.aec.gov.au/27966/Website/External/SenateStateDop-27966-NSW.pdf,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,6,685818,5467993,4800722,195388,4996110,91.37,301902,0,first,,,"Liberal Party of Australia,NSW Division-National Party of Australia NSW","Liberal Party of Australia,NSW Division-National Party of Australia NSW",1763074,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/27966/Website/SenateStateFirstPrefsByGroup-27966-NSW.htm,https://results.aec.gov.au/27966/Website/External/SenateStateDop-27966-NSW.pdf,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,6,685818,5467993,4800722,195388,4996110,91.37,301902,0,first,,,Labor,Labor,1461172,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/27966/Website/SenateStateFirstPrefsByGroup-27966-NSW.htm,https://results.aec.gov.au/27966/Website/External/SenateStateDop-27966-NSW.pdf,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,6,685818,5467993,4800722,195388,4996110,91.37,301902,0,first,,,The Greens,The Greens,550069,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/27966/Website/SenateStateFirstPrefsByGroup-27966-NSW.htm,https://results.aec.gov.au/27966/Website/External/SenateStateDop-27966-NSW.pdf,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,6,685818,5467993,4800722,195388,4996110,91.37,301902,0,first,,,Pauline Hanson's One Nation,Pauline Hanson's One Nation,198121,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/27966/Website/SenateStateFirstPrefsByGroup-27966-NSW.htm,https://results.aec.gov.au/27966/Website/External/SenateStateDop-27966-NSW.pdf,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,6,685818,5467993,4800722,195388,4996110,91.37,301902,0,first,,,UAP,UAP,162262,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/27966/Website/SenateStateFirstPrefsByGroup-27966-NSW.htm,https://results.aec.gov.au/27966/Website/External/SenateStateDop-27966-NSW.pdf,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,6,685818,5467993,4800722,195388,4996110,91.37,301902,0,first,,,Legalise Cannabis Australia,Legalise Cannabis Australia,125001,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/27966/Website/SenateStateFirstPrefsByGroup-27966-NSW.htm,https://results.aec.gov.au/27966/Website/External/SenateStateDop-27966-NSW.pdf,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,6,685818,5467993,4800722,195388,4996110,91.37,301902,0,first,,,Animal Justice Party,Animal Justice Party,103239,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/27966/Website/SenateStateFirstPrefsByGroup-27966-NSW.htm,https://results.aec.gov.au/27966/Website/External/SenateStateDop-27966-NSW.pdf,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,6,685818,5467993,4800722,195388,4996110,91.37,301902,0,first,,,Liberal Democrats,Liberal Democrats,101780,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/27966/Website/SenateStateFirstPrefsByGroup-27966-NSW.htm,https://results.aec.gov.au/27966/Website/External/SenateStateDop-27966-NSW.pdf,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,6,685818,5467993,4800722,195388,4996110,91.37,301902,0,first,,,"Shooters, Fishers and Farmers Party","Shooters, Fishers and Farmers Party",91143,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
New South Wales,https://results.aec.gov.au/27966/Website/SenateStateFirstPrefsByGroup-27966-NSW.htm,https://results.aec.gov.au/27966/Website/External/SenateStateDop-27966-NSW.pdf,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,"PAYNE, Marise; O'NEILL, Deborah; CADELL, Ross; McALLISTER, Jenny; SHOEBRIDGE, David; MOLAN, Jim",Liberal; Labor; The Nationals; Labor; The Greens; Liberal,6,685818,5467993,4800722,195388,4996110,91.37,301902,0,first,,,Indigenous - Aboriginal Party of Australia,Indigenous - Aboriginal Party of Australia,38970,State / territory Senate contest,AU-SEN-NSW,official,Official AEC first-preference totals by Senate group and final list of elected senators. Full transfer counts are intentionally outside this compact view.
