district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,contest_status,result_note,mandate_awarded
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,,CDU,232131,191785,1097,192882,83.091875,95893,0,first,,,SPD,SPD,28376,Schleswig-Holstein,official,The Erststimme leader did not receive a constituency mandate because the party lacked sufficient Zweitstimme coverage under the 2025 electoral law.,False
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,,CDU,232131,191785,1097,192882,83.091875,95893,0,first,,,CDU,CDU,50838,Schleswig-Holstein,official,The Erststimme leader did not receive a constituency mandate because the party lacked sufficient Zweitstimme coverage under the 2025 electoral law.,False
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,,CDU,232131,191785,1097,192882,83.091875,95893,0,first,,,GRÜNE,GRÜNE,43298,Schleswig-Holstein,official,The Erststimme leader did not receive a constituency mandate because the party lacked sufficient Zweitstimme coverage under the 2025 electoral law.,False
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,,CDU,232131,191785,1097,192882,83.091875,95893,0,first,,,FDP,FDP,4487,Schleswig-Holstein,official,The Erststimme leader did not receive a constituency mandate because the party lacked sufficient Zweitstimme coverage under the 2025 electoral law.,False
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,,CDU,232131,191785,1097,192882,83.091875,95893,0,first,,,AfD,AfD,28827,Schleswig-Holstein,official,The Erststimme leader did not receive a constituency mandate because the party lacked sufficient Zweitstimme coverage under the 2025 electoral law.,False
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,,CDU,232131,191785,1097,192882,83.091875,95893,0,first,,,Die Linke,Die Linke,10375,Schleswig-Holstein,official,The Erststimme leader did not receive a constituency mandate because the party lacked sufficient Zweitstimme coverage under the 2025 electoral law.,False
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,,CDU,232131,191785,1097,192882,83.091875,95893,0,first,,,SSW,SSW,21468,Schleswig-Holstein,official,The Erststimme leader did not receive a constituency mandate because the party lacked sufficient Zweitstimme coverage under the 2025 electoral law.,False
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,,CDU,232131,191785,1097,192882,83.091875,95893,0,first,,,FREIE WÄHLER,FREIE WÄHLER,1547,Schleswig-Holstein,official,The Erststimme leader did not receive a constituency mandate because the party lacked sufficient Zweitstimme coverage under the 2025 electoral law.,False
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,,CDU,232131,191785,1097,192882,83.091875,95893,0,first,,,Volt,Volt,1452,Schleswig-Holstein,official,The Erststimme leader did not receive a constituency mandate because the party lacked sufficient Zweitstimme coverage under the 2025 electoral law.,False
001 Flensburg – Schleswig,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,https://www.bundeswahlleiterin.de/bundestagswahlen/2025/ergebnisse.html,,CDU,232131,191785,1097,192882,83.091875,95893,0,first,,,BÜNDNIS DEUTSCHLAND,BÜNDNIS DEUTSCHLAND,646,Schleswig-Holstein,official,The Erststimme leader did not receive a constituency mandate because the party lacked sufficient Zweitstimme coverage under the 2025 electoral law.,False
