district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Amapá,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,409757,0,409757,,32648,0,first,,,Ciro Gomes,Ciro Gomes,50553,State,BR-UF-AP,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Amapá,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,409757,0,409757,,32648,0,first,,,Other candidates,Other candidates,38741,State,BR-UF-AP,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Amapá,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,409757,0,409757,,32648,0,first,,,Geraldo Alckmin,Geraldo Alckmin,19241,State,BR-UF-AP,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Amazonas,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1853591,0,1853591,,58904,0,first,,,Jair Bolsonaro,Jair Bolsonaro,805902,State,BR-UF-AM,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Amazonas,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1853591,0,1853591,,58904,0,first,,,Fernando Haddad,Fernando Haddad,746998,State,BR-UF-AM,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Amazonas,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1853591,0,1853591,,58904,0,first,,,Ciro Gomes,Ciro Gomes,138997,State,BR-UF-AM,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Amazonas,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1853591,0,1853591,,58904,0,first,,,Other candidates,Other candidates,132504,State,BR-UF-AM,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Amazonas,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Jair Bolsonaro,Jair Bolsonaro,0,1853591,0,1853591,,58904,0,first,,,Geraldo Alckmin,Geraldo Alckmin,29190,State,BR-UF-AM,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Bahia,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,7368545,0,7368545,,2716815,0,first,,,Fernando Haddad,Fernando Haddad,4441955,State,BR-UF-BA,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
Bahia,https://dadosabertos.tse.jus.br/dataset/resultados-2018,https://servicodados.ibge.gov.br/api/docs/malhas?versao=3,Fernando Haddad,Fernando Haddad,0,7368545,0,7368545,,2716815,0,first,,,Jair Bolsonaro,Jair Bolsonaro,1725140,State,BR-UF-BA,official,State candidate totals transcribed in a pinned TSE-attributed result table; first-round minor candidates are grouped as Other candidates. National shares use the official TSE totals. State boundaries come from IBGE.
