district,district_url,distribution_url,elected_member,elected_party,elected_members,members_to_elect,quota,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,candidate_status,candidate_elected,candidate_elected_order,votes
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"FRYDRYCH, Michal",Tas SFFP,Excluded,False,,1616
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"ALEXANDER, Lara",Independent,Excluded,False,,1518
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,QUINN,Independent,,False,,1513
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"GATENBY, Chris",Liberal Party,Excluded,False,,1504
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"QUAILE, Sarah",Liberal Party,Excluded,False,,1448
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"RAZAY, George",Independent,Excluded,False,,1247
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"TRETHEWIE, Richard",Liberal Party,Excluded,False,,1148
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"GORDON, William",Australian Labor Party,Excluded,False,,1112
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"JOHNSON, Ludwig",Jacqui Lambie Network,Excluded,False,,1088
Bass,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/elections-2024/results/bass/pdf/2024%20House%20of%20Assembly%20-%20Division%20of%20Bass%20-%20Export%2080.xlsx,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Tasmanian Greens; Jacqui Lambie Network; Liberal Party,"FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie; FAIRS, Rob; ROSOL, Cecily; PENTLAND, Rebekah; WOOD, Simon",7,8491,80126,67924,4706,72630,90.64,990,0,first,,,"DAVIS, Ivan",AJP,Excluded,False,,994
