district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,contest_status
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,first,,,Christopher Coker,Aotearoa Legalise Cannabis Party,365,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,first,,,Paul Davie,Rock the Vote NZ,91,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,first,,,Madeleine Kane,Animal Justice Party Aotearoa New Zealand,135,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,first,,,Andi Shen Liu,Independent,110,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,first,,,Mahesh Muralidhar,National Party,12728,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,first,,,Felix Poole,ACT New Zealand,1235,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,first,,,Oscar Sims,Labour Party,2608,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,first,,,Guy Slocum,New Nation Party,89,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,first,,,Chlöe Swarbrick,Green Party,16624,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,first,,,Damian Sycamore,The Opportunities Party,462,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,1,final,,,Christopher Coker,Aotearoa Legalise Cannabis Party,365,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,1,final,,,Paul Davie,Rock the Vote NZ,91,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,1,final,,,Madeleine Kane,Animal Justice Party Aotearoa New Zealand,135,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,1,final,,,Andi Shen Liu,Independent,110,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,1,final,,,Mahesh Muralidhar,National Party,12728,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,1,final,,,Felix Poole,ACT New Zealand,1235,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,1,final,,,Oscar Sims,Labour Party,2608,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,1,final,,,Guy Slocum,New Nation Party,89,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,1,final,,,Chlöe Swarbrick,Green Party,16624,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,1,final,,,Damian Sycamore,The Opportunities Party,462,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,party_vote,,,ACT New Zealand,ACT New Zealand,3301,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,party_vote,,,Animal Justice Party Aotearoa New Zealand,Animal Justice Party Aotearoa New Zealand,50,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,party_vote,,,DemocracyNZ,DemocracyNZ,142,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,party_vote,,,Freedoms NZ,Freedoms NZ,32,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,party_vote,,,Leighton Baker Party,Leighton Baker Party,48,General,official
Auckland Central,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,https://archive.electionresults.govt.nz/electionresults_2023/statistics/candidate-votes-by-voting-place-1.html,Chlöe Swarbrick,Green Party,0,34447,299,34746,0,17224,0,party_vote,,,Green Party,Green Party,8503,General,official
