district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Arizona,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Ruben Gallego,Democratic,0,3347964,0,3347964,0,80574,0,first,,,Ruben Gallego,Democratic,1676335,United States,US-SENATE-STATE-AZ,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the MIT Election Lab state compilation. Concurrent special elections are excluded.
Arizona,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Ruben Gallego,Democratic,0,3347964,0,3347964,0,80574,0,first,,,Kari Lake,Republican,1595761,United States,US-SENATE-STATE-AZ,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the MIT Election Lab state compilation. Concurrent special elections are excluded.
Arizona,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Ruben Gallego,Democratic,0,3347964,0,3347964,0,80574,0,first,,,Eduardo Quintana,Other,75868,United States,US-SENATE-STATE-AZ,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the MIT Election Lab state compilation. Concurrent special elections are excluded.
California,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Adam B. Schiff,Democratic,0,15348846,0,15348846,0,2723658,0,first,,,Adam B. Schiff,Democratic,9036252,United States,US-SENATE-STATE-CA,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the MIT Election Lab state compilation. Concurrent special elections are excluded.
California,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Adam B. Schiff,Democratic,0,15348846,0,15348846,0,2723658,0,first,,,Steve Garvey,Republican,6312594,United States,US-SENATE-STATE-CA,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the MIT Election Lab state compilation. Concurrent special elections are excluded.
Connecticut,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Christopher S. Murphy,Democratic,0,1708259,0,1708259,0,322439,0,first,,,Christopher S. Murphy,Democratic,1000695,United States,US-SENATE-STATE-CT,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the MIT Election Lab state compilation. Concurrent special elections are excluded.
Connecticut,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Christopher S. Murphy,Democratic,0,1708259,0,1708259,0,322439,0,first,,,Matthew M. Corey,Republican,678256,United States,US-SENATE-STATE-CT,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the MIT Election Lab state compilation. Concurrent special elections are excluded.
Connecticut,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Christopher S. Murphy,Democratic,0,1708259,0,1708259,0,322439,0,first,,,Robert Finley Hyde,Other,14879,United States,US-SENATE-STATE-CT,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the MIT Election Lab state compilation. Concurrent special elections are excluded.
Connecticut,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Christopher S. Murphy,Democratic,0,1708259,0,1708259,0,322439,0,first,,,Justin C. Paglino,Other,14422,United States,US-SENATE-STATE-CT,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the MIT Election Lab state compilation. Concurrent special elections are excluded.
Connecticut,https://electionlab.mit.edu/data,https://electionlab.mit.edu/data,Christopher S. Murphy,Democratic,0,1708259,0,1708259,0,322439,0,first,,,John Flynn,Other,7,United States,US-SENATE-STATE-CT,official,Candidate totals are aggregated from checksum-pinned MIT Election Lab returns and audited against the MIT Election Lab state compilation. Concurrent special elections are excluded.
