district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,48949,39858,1997,41855,85.51,,0,first,,,"RAMSAY, Tamasin",ANIMAL JUSTICE PARTY,1555
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,48949,39858,1997,41855,85.51,,0,first,,,"BOND, Andrew",LIBERAL,12457
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,48949,39858,1997,41855,85.51,,0,first,,,"BARTLE, Jarryd",FIONA PATTEN'S REASON PARTY,1079
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,48949,39858,1997,41855,85.51,,0,first,,,"ARMSTRONG, Steven",SUSTAINABLE AUSTRALIA,597
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,48949,39858,1997,41855,85.51,,0,first,,,"TOSCANO, Joseph",Independent,282
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,48949,39858,1997,41855,85.51,,0,first,,,"SIMIC, Ogy",AUSTRALIAN GREENS,6601
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,48949,39858,1997,41855,85.51,,0,first,,,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,17287
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,48949,39858,1997,41855,85.51,,1,transfer,"TOSCANO, Joseph",Independent,"RAMSAY, Tamasin",ANIMAL JUSTICE PARTY,31
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,48949,39858,1997,41855,85.51,,1,transfer,"TOSCANO, Joseph",Independent,"BOND, Andrew",LIBERAL,36
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/albertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2018/distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY,48949,39858,1997,41855,85.51,,1,transfer,"TOSCANO, Joseph",Independent,"BARTLE, Jarryd",FIONA PATTEN'S REASON PARTY,41
