district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionalbertparkdistrict.html,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,47148,39790,1568,41358,87.72,,"LOPEZ, Mark",Liberal,15234,"FOLEY, Martin",ALP,20713,"LOPEZ, Mark",Liberal,19077,1636,True,8701
Altona,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultaltonadistrict.html,,"HENNESSY, Jill",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,51138,44987,2529,47516,92.92,,"HENNESSY, Jill",ALP,22954,"HENNESSY, Jill",ALP,27886,"ROSE, Mark",Liberal,17117,10769,False,4932
Ballarat East,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultballarateastdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionballarateastdistrict.html,"HOWARD, Geoff",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,40578,36306,1636,37942,93.5,,"TAYLOR, Ben",Liberal,15758,"HOWARD, Geoff",ALP,18702,"TAYLOR, Ben",Liberal,17604,1098,True,4626
Ballarat West,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultballaratwestdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionballaratwestdistrict.html,"KNIGHT, Sharon",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,43964,39517,1740,41257,93.84,,"COLTMAN, Craig",Liberal,17230,"KNIGHT, Sharon",ALP,20175,"COLTMAN, Craig",Liberal,19342,833,True,3729
Bass,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultbassdistrict.html,,"SMITH, Ken",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,49279,44451,2243,46694,94.75,,"SMITH, Ken",Liberal,25098,"SMITH, Ken",Liberal,27804,"LONERGAN, Gerry",ALP,16622,11182,False,2706
Bayswater,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultbayswaterdistrict.html,,"VICTORIA, Heidi",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,37101,33293,1579,34872,93.99,,"VICTORIA, Heidi",Liberal,17597,"VICTORIA, Heidi",Liberal,20178,"LOCKWOOD, Peter",ALP,13134,7044,False,2581
Bellarine,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultbellarinedistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionbellarinedistrict.html,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,44369,39811,2231,42042,94.76,,"REITER, Kurt",Liberal,17140,"NEVILLE, Lisa",ALP,20449,"REITER, Kurt",Liberal,19362,1087,True,4125
Benalla,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultbenalladistrict.html,,"SYKES, Bill",NATIONAL PARTY OF AUSTRALIA - VICTORIA,36987,33302,1398,34700,93.82,,"SYKES, Bill",Nationals,21072,"SYKES, Bill",Nationals,24354,"ALLEN, Rowena",ALP,8978,15376,False,3282
Benambra,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultbenambradistrict.html,,"TILLEY, Bill",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,37242,32985,1447,34432,92.45,,"TILLEY, Bill",Liberal,18424,"TILLEY, Bill",Liberal,21909,"WILLIAMS, John",ALP,11045,10864,False,3485
Bendigo East,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultbendigoeastdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionbendigoeastdistrict.html,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,40730,36667,1827,38494,94.51,,"ALLAN, Jacinta",ALP,16079,"ALLAN, Jacinta",ALP,19123,"LANGDON, Michael",Liberal,14204,4919,False,3044
Bendigo West,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultbendigowestdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionbendigowestdistrict.html,"EDWARDS, Maree",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,41682,36682,2127,38809,93.11,,"EDWARDS, Maree",ALP,14431,"EDWARDS, Maree",ALP,19417,"OLIVER, Steven",Nationals,17265,2152,False,4986
Bentleigh,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultbentleighdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010distributionbentleighdistrict.html,"MILLER, Elizabeth",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,38715,34672,1615,36287,93.73,,"MILLER, Elizabeth",Liberal,16296,"MILLER, Elizabeth",Liberal,17597,"HUDSON, Rob",ALP,17075,522,False,1301
Box Hill,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultboxhilldistrict.html,,"CLARK, Robert",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,38898,35011,1155,36166,92.98,,"CLARK, Robert",Liberal,20415,"CLARK, Robert",Liberal,22346,"CHANDLER, Peter",ALP,12677,9669,False,1931
Brighton,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultbrightondistrict.html,,"ASHER, Louise",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,38366,34197,1215,35412,92.3,,"ASHER, Louise",Liberal,21375,"ASHER, Louise",Liberal,23091,"DALEY, Tom",ALP,11089,12002,False,1716
Broadmeadows,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2010/state2010resultbroadmeadowsdistrict.html,,"BRUMBY, John",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,37424,30705,2517,33222,88.77,,"BRUMBY, John",ALP,19125,"BRUMBY, John",ALP,21811,"OZTURK, Samli",Liberal,8919,12892,False,2686
