district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,unreturned_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status
Padang Besar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Rushdan Bin Rusmi,PN,60192,45288,693,78,46059,76.52,22645,0,first,,,Rushdan Bin Rusmi,PN,24267,Perlis,P.001,official
Padang Besar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Rushdan Bin Rusmi,PN,60192,45288,693,78,46059,76.52,22645,0,first,,,Zahida Binti Zarik Khan,BN,11753,Perlis,P.001,official
Padang Besar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Rushdan Bin Rusmi,PN,60192,45288,693,78,46059,76.52,22645,0,first,,,Kapt (B) Hj Mohamad Yahaya,PH,7085,Perlis,P.001,official
Padang Besar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Rushdan Bin Rusmi,PN,60192,45288,693,78,46059,76.52,22645,0,first,,,Zahidi Bin Zainul Abidin,BEBAS,1939,Perlis,P.001,official
Padang Besar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Rushdan Bin Rusmi,PN,60192,45288,693,78,46059,76.52,22645,0,first,,,Ko Chu Liang,WARISAN,244,Perlis,P.001,official
Kangar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Cikgu Zakri,PN,74859,56200,681,108,56989,76.13,28101,0,first,,,Cikgu Zakri,PN,24562,Perlis,P.002,official
Kangar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Cikgu Zakri,PN,74859,56200,681,108,56989,76.13,28101,0,first,,,Dr Fathul Bari,BN,15370,Perlis,P.002,official
Kangar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Cikgu Zakri,PN,74859,56200,681,108,56989,76.13,28101,0,first,,,Amin Ahmad,PH,15143,Perlis,P.002,official
Kangar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Cikgu Zakri,PN,74859,56200,681,108,56989,76.13,28101,0,first,,,Ustaz Nur Sulaiman,PEJUANG,708,Perlis,P.002,official
Kangar,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Cikgu Zakri,PN,74859,56200,681,108,56989,76.13,28101,0,first,,,Prof. Dr. Rohimi Shapiee,WARISAN,417,Perlis,P.002,official
Arau,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Shahidan Bin Kassim,PN,60876,46789,727,89,47605,78.2,23395,0,first,,,Shahidan Bin Kassim,PN,31458,Perlis,P.003,official
Arau,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Shahidan Bin Kassim,PN,60876,46789,727,89,47605,78.2,23395,0,first,,,Rozabil @ Tok Ben,BN,8242,Perlis,P.003,official
Arau,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Shahidan Bin Kassim,PN,60876,46789,727,89,47605,78.2,23395,0,first,,,Fathin Amelina,PH,7089,Perlis,P.003,official
Langkawi,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Mohd Suhaimi Bin Abdullah,PN,66777,47480,508,135,48123,72.07,23741,0,first,,,Mohd Suhaimi Bin Abdullah,PN,25463,Kedah,P.004,official
Langkawi,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Mohd Suhaimi Bin Abdullah,PN,66777,47480,508,135,48123,72.07,23741,0,first,,,Dato' Armishah Siraj (Das),BN,11945,Kedah,P.004,official
Langkawi,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Mohd Suhaimi Bin Abdullah,PN,66777,47480,508,135,48123,72.07,23741,0,first,,,Zabidi Yahya,PH,5417,Kedah,P.004,official
Langkawi,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Mohd Suhaimi Bin Abdullah,PN,66777,47480,508,135,48123,72.07,23741,0,first,,,Mahathir Bin Mohamad,PEJUANG,4566,Kedah,P.004,official
Langkawi,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Mohd Suhaimi Bin Abdullah,PN,66777,47480,508,135,48123,72.07,23741,0,first,,,Dato Paduka Abd Kadir,BEBAS,89,Kedah,P.004,official
Jerlun,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Dr. Abd Ghani Ahmad,PN,67601,52207,617,85,52909,78.27,26104,0,first,,,Dr. Abd Ghani Ahmad,PN,31685,Kedah,P.005,official
Jerlun,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Dr. Abd Ghani Ahmad,PN,67601,52207,617,85,52909,78.27,26104,0,first,,,Othman Bin Aziz,BN,11229,Kedah,P.005,official
Jerlun,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Dr. Abd Ghani Ahmad,PN,67601,52207,617,85,52909,78.27,26104,0,first,,,Dr. Mohamed Fadzil Mohd Ali,PH,6149,Kedah,P.005,official
Jerlun,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,https://opendata.spr.gov.my/katalog?bahagian=penjalanan-pilihan-raya&tab=0&tahun=2022,Dr. Abd Ghani Ahmad,PN,67601,52207,617,85,52909,78.27,26104,0,first,,,Dato' Seri Utama Mukhriz Mahathir,PEJUANG,3144,Kedah,P.005,official
