district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionalbertparkdistrict.html,"THWAITES, John",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,43926,36025,1630,37655,85.72,,0,first,,,"REECE, David",CEC,269
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionalbertparkdistrict.html,"THWAITES, John",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,43926,36025,1630,37655,85.72,,0,first,,,"THWAITES, John",ALP,14787
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionalbertparkdistrict.html,"THWAITES, John",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,43926,36025,1630,37655,85.72,,0,first,,,"JACKSON, Adrian",Independent,458
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionalbertparkdistrict.html,"THWAITES, John",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,43926,36025,1630,37655,85.72,,0,first,,,"MIDDLETON, John",Greens,6871
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionalbertparkdistrict.html,"THWAITES, John",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,43926,36025,1630,37655,85.72,,0,first,,,"SMITH, Clive",Liberal,12479
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionalbertparkdistrict.html,"THWAITES, John",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,43926,36025,1630,37655,85.72,,0,first,,,"ROBERTSON, Sam",FAMILY FIRST,390
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionalbertparkdistrict.html,"THWAITES, John",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,43926,36025,1630,37655,85.72,,0,first,,,"PAVLIS, Stratos",PEOPLE POWER,771
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionalbertparkdistrict.html,"THWAITES, John",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,43926,36025,1630,37655,85.72,,1,transfer,"REECE, David",CEC,"THWAITES, John",ALP,163
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionalbertparkdistrict.html,"THWAITES, John",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,43926,36025,1630,37655,85.72,,1,transfer,"REECE, David",CEC,"JACKSON, Adrian",Independent,38
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionalbertparkdistrict.html,"THWAITES, John",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,43926,36025,1630,37655,85.72,,1,transfer,"REECE, David",CEC,"MIDDLETON, John",Greens,17
