district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Algester,https://results.elections.qld.gov.au/SGE2024/algester,https://results.elections.qld.gov.au/SGE2024/algester/preference,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),40236,33751,1636,35387,87.95,16876,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),15463,"ENOCH, Leeanne",Australian Labor Party (State of Queensland),19398,"PRASAD, Jitendra",Liberal National Party of Queensland,14353,5045,False,3935
Aspley,https://results.elections.qld.gov.au/SGE2024/aspley,https://results.elections.qld.gov.au/SGE2024/aspley/preference,"MELLISH, Bart",Australian Labor Party (State of Queensland),39999,35747,1119,36866,92.17,17874,"COOPER, Amanda",Liberal National Party of Queensland,15696,"MELLISH, Bart",Australian Labor Party (State of Queensland),17889,"COOPER, Amanda",Liberal National Party of Queensland,17858,31,True,3901
Bancroft,https://results.elections.qld.gov.au/SGE2024/bancroft,https://results.elections.qld.gov.au/SGE2024/bancroft/preference,"WHITING, Chris",Australian Labor Party (State of Queensland),40708,34441,1345,35786,87.91,17221,"WHITING, Chris",Australian Labor Party (State of Queensland),16141,"WHITING, Chris",Australian Labor Party (State of Queensland),19289,"BARRIDGE, Rob",Liberal National Party of Queensland,15152,4137,False,3148
Barron River,https://results.elections.qld.gov.au/SGE2024/barronriver,https://results.elections.qld.gov.au/SGE2024/barronriver/preference,"JAMES, Bree",Liberal National Party of Queensland,41420,34267,1448,35715,86.23,17134,"JAMES, Bree",Liberal National Party of Queensland,13612,"JAMES, Bree",Liberal National Party of Queensland,18403,"CRAWFORD, Craig",Australian Labor Party (State of Queensland),15864,2539,False,4791
Bonney,https://results.elections.qld.gov.au/SGE2024/bonney,https://results.elections.qld.gov.au/SGE2024/bonney/preference,"O'CONNOR, Sam",Liberal National Party of Queensland,37960,30485,1517,32002,84.3,15243,"O'CONNOR, Sam",Liberal National Party of Queensland,16560,"O'CONNOR, Sam",Liberal National Party of Queensland,19409,"KELLY-COLLINS, Kyle",Australian Labor Party (State of Queensland),11076,8333,False,2849
Broadwater,https://results.elections.qld.gov.au/SGE2024/broadwater,https://results.elections.qld.gov.au/SGE2024/broadwater/preference,"CRISAFULLI, David",Liberal National Party of Queensland,38225,32686,1114,33800,88.42,16344,"CRISAFULLI, David",Liberal National Party of Queensland,20916,"CRISAFULLI, David",Liberal National Party of Queensland,23311,"HICKS, Tamika",Australian Labor Party (State of Queensland),9375,13936,False,2395
Buderim,https://results.elections.qld.gov.au/SGE2024/buderim,https://results.elections.qld.gov.au/SGE2024/buderim/preference,"MICKELBERG, Brent",Liberal National Party of Queensland,41962,36158,1271,37429,89.2,18080,"MICKELBERG, Brent",Liberal National Party of Queensland,17670,"MICKELBERG, Brent",Liberal National Party of Queensland,21436,"BURKE, Adrian",Australian Labor Party (State of Queensland),14722,6714,False,3766
Bulimba,https://results.elections.qld.gov.au/SGE2024/bulimba,https://results.elections.qld.gov.au/SGE2024/bulimba/preference,"FARMER, Di",Australian Labor Party (State of Queensland),41931,36948,876,37824,90.21,18475,"FARMER, Di",Australian Labor Party (State of Queensland),15560,"FARMER, Di",Australian Labor Party (State of Queensland),21486,"WONG, Laura",Liberal National Party of Queensland,15462,6024,False,5926
Bundaberg,https://results.elections.qld.gov.au/SGE2024/bundaberg,https://results.elections.qld.gov.au/SGE2024/bundaberg/preference,"SMITH, Tom",Australian Labor Party (State of Queensland),37974,31957,1676,33633,88.57,15979,"SMITH, Tom",Australian Labor Party (State of Queensland),13253,"SMITH, Tom",Australian Labor Party (State of Queensland),16460,"WATSON, Bree",Liberal National Party of Queensland,15497,963,False,3207
Bundamba,https://results.elections.qld.gov.au/SGE2024/bundamba,https://results.elections.qld.gov.au/SGE2024/bundamba/preference,"MCCALLUM, Lance",Australian Labor Party (State of Queensland),45142,35104,2296,37400,82.85,17553,"MCCALLUM, Lance",Australian Labor Party (State of Queensland),15326,"MCCALLUM, Lance",Australian Labor Party (State of Queensland),22396,"MUTZELBURG, Carl",Liberal National Party of Queensland,12708,9688,False,7070
