district,district_url,distribution_url,elected_member,elected_members,elected_party,members_to_elect,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_members,candidate_party,votes,electorate_type,contest_status
Aljunied,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,WP team,CHEN SHOW MAO;SYLVIA LIM;LOW THIA KHIANG;MD FAISAL BIN ABDUL MANAP;PRITAM SINGH,WP,5,148142,137474,1638,139112,93.9,68738,0,first,,,WP team,CHEN SHOW MAO;SYLVIA LIM;LOW THIA KHIANG;MD FAISAL BIN ABDUL MANAP;PRITAM SINGH,WP,70050,GRC,official
Aljunied,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,WP team,CHEN SHOW MAO;SYLVIA LIM;LOW THIA KHIANG;MD FAISAL BIN ABDUL MANAP;PRITAM SINGH,WP,5,148142,137474,1638,139112,93.9,68738,0,first,,,PAP team,CHUA ENG LEONG;K MURALIDHARAN PILLAI;LYE THIAM FATT JOSEPH VICTOR;SHAMSUL KAMAR BIN MOHAMED RAZALI;YEO GUAT KWANG,PAP,67424,GRC,official
Aljunied,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,WP team,CHEN SHOW MAO;SYLVIA LIM;LOW THIA KHIANG;MD FAISAL BIN ABDUL MANAP;PRITAM SINGH,WP,5,148142,137474,1638,139112,93.9,68738,1,final,,,WP team,CHEN SHOW MAO;SYLVIA LIM;LOW THIA KHIANG;MD FAISAL BIN ABDUL MANAP;PRITAM SINGH,WP,70050,GRC,official
Aljunied,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,WP team,CHEN SHOW MAO;SYLVIA LIM;LOW THIA KHIANG;MD FAISAL BIN ABDUL MANAP;PRITAM SINGH,WP,5,148142,137474,1638,139112,93.9,68738,1,final,,,PAP team,CHUA ENG LEONG;K MURALIDHARAN PILLAI;LYE THIAM FATT JOSEPH VICTOR;SHAMSUL KAMAR BIN MOHAMED RAZALI;YEO GUAT KWANG,PAP,67424,GRC,official
Ang Mo Kio,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,PAP team,ANG HIN KEE;DAVID DARRYL WILSON;GAN THIAM POH;INTAN AZURA BINTE MOKHTAR;KOH POH KOON;LEE HSIEN LOONG,PAP,6,187771,172074,4893,176967,94.25,86038,0,first,,,PAP team,ANG HIN KEE;DAVID DARRYL WILSON;GAN THIAM POH;INTAN AZURA BINTE MOKHTAR;KOH POH KOON;LEE HSIEN LOONG,PAP,135316,GRC,official
Ang Mo Kio,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,PAP team,ANG HIN KEE;DAVID DARRYL WILSON;GAN THIAM POH;INTAN AZURA BINTE MOKHTAR;KOH POH KOON;LEE HSIEN LOONG,PAP,6,187771,172074,4893,176967,94.25,86038,0,first,,,RP team,GOH KEOW WAH;JESSE LOO HOE BOCK;ROY NGERNG YI LING;OSMAN SULAIMAN;M RAVI;SIVA CHANDRAN,RP,36758,GRC,official
Ang Mo Kio,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,PAP team,ANG HIN KEE;DAVID DARRYL WILSON;GAN THIAM POH;INTAN AZURA BINTE MOKHTAR;KOH POH KOON;LEE HSIEN LOONG,PAP,6,187771,172074,4893,176967,94.25,86038,1,final,,,PAP team,ANG HIN KEE;DAVID DARRYL WILSON;GAN THIAM POH;INTAN AZURA BINTE MOKHTAR;KOH POH KOON;LEE HSIEN LOONG,PAP,135316,GRC,official
Ang Mo Kio,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,PAP team,ANG HIN KEE;DAVID DARRYL WILSON;GAN THIAM POH;INTAN AZURA BINTE MOKHTAR;KOH POH KOON;LEE HSIEN LOONG,PAP,6,187771,172074,4893,176967,94.25,86038,1,final,,,RP team,GOH KEOW WAH;JESSE LOO HOE BOCK;ROY NGERNG YI LING;OSMAN SULAIMAN;M RAVI;SIVA CHANDRAN,RP,36758,GRC,official
Bishan-Toa Payoh,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,PAP team,CHEE HONG TAT;CHONG KEE HIONG;NG ENG HEN;SAKTIANDI BIN SUPAAT;JOSEPHINE TEO,PAP,5,129975,117809,2415,120224,92.5,58905,0,first,,,PAP team,CHEE HONG TAT;CHONG KEE HIONG;NG ENG HEN;SAKTIANDI BIN SUPAAT;JOSEPHINE TEO,PAP,86701,GRC,official
Bishan-Toa Payoh,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,PAP team,CHEE HONG TAT;CHONG KEE HIONG;NG ENG HEN;SAKTIANDI BIN SUPAAT;JOSEPHINE TEO,PAP,5,129975,117809,2415,120224,92.5,58905,0,first,,,SPP team,"LAW KIM HWEE;LONG YAOGUANG, DON BRYAN;MOHAMAD ABDILLAH BIN ZAMZURI;MOHAMAD HAMIM BIN ALIYAS;PWEE YEK KWAN BENJAMIN",SPP,31108,GRC,official
Bishan-Toa Payoh,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,PAP team,CHEE HONG TAT;CHONG KEE HIONG;NG ENG HEN;SAKTIANDI BIN SUPAAT;JOSEPHINE TEO,PAP,5,129975,117809,2415,120224,92.5,58905,1,final,,,PAP team,CHEE HONG TAT;CHONG KEE HIONG;NG ENG HEN;SAKTIANDI BIN SUPAAT;JOSEPHINE TEO,PAP,86701,GRC,official
Bishan-Toa Payoh,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,PAP team,CHEE HONG TAT;CHONG KEE HIONG;NG ENG HEN;SAKTIANDI BIN SUPAAT;JOSEPHINE TEO,PAP,5,129975,117809,2415,120224,92.5,58905,1,final,,,SPP team,"LAW KIM HWEE;LONG YAOGUANG, DON BRYAN;MOHAMAD ABDILLAH BIN ZAMZURI;MOHAMAD HAMIM BIN ALIYAS;PWEE YEK KWAN BENJAMIN",SPP,31108,GRC,official
Bukit Batok,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,DAVID ONG KIM HUAT,DAVID ONG KIM HUAT,PAP,1,27077,24972,546,25518,94.24,12487,0,first,,,DAVID ONG KIM HUAT,DAVID ONG KIM HUAT,PAP,18234,SMC,official
Bukit Batok,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,DAVID ONG KIM HUAT,DAVID ONG KIM HUAT,PAP,1,27077,24972,546,25518,94.24,12487,0,first,,,SADASIVAM V,SADASIVAM V,SDP,6588,SMC,official
Bukit Batok,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,DAVID ONG KIM HUAT,DAVID ONG KIM HUAT,PAP,1,27077,24972,546,25518,94.24,12487,0,first,,,SAMIR SALIM NEJI,SAMIR SALIM NEJI,- Independent Candidate,150,SMC,official
Bukit Batok,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,DAVID ONG KIM HUAT,DAVID ONG KIM HUAT,PAP,1,27077,24972,546,25518,94.24,12487,1,final,,,DAVID ONG KIM HUAT,DAVID ONG KIM HUAT,PAP,18234,SMC,official
Bukit Batok,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,DAVID ONG KIM HUAT,DAVID ONG KIM HUAT,PAP,1,27077,24972,546,25518,94.24,12487,1,final,,,SADASIVAM V,SADASIVAM V,SDP,6588,SMC,official
Bukit Batok,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,DAVID ONG KIM HUAT,DAVID ONG KIM HUAT,PAP,1,27077,24972,546,25518,94.24,12487,1,final,,,SAMIR SALIM NEJI,SAMIR SALIM NEJI,- Independent Candidate,150,SMC,official
Bukit Panjang,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,TEO HO PIN,TEO HO PIN,PAP,1,34317,32106,626,32732,95.38,16054,0,first,,,TEO HO PIN,TEO HO PIN,PAP,21954,SMC,official
Bukit Panjang,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,TEO HO PIN,TEO HO PIN,PAP,1,34317,32106,626,32732,95.38,16054,0,first,,,KHUNG WAI YEEN,KHUNG WAI YEEN,SDP,10152,SMC,official
Bukit Panjang,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,TEO HO PIN,TEO HO PIN,PAP,1,34317,32106,626,32732,95.38,16054,1,final,,,TEO HO PIN,TEO HO PIN,PAP,21954,SMC,official
Bukit Panjang,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,TEO HO PIN,TEO HO PIN,PAP,1,34317,32106,626,32732,95.38,16054,1,final,,,KHUNG WAI YEEN,KHUNG WAI YEEN,SDP,10152,SMC,official
Chua Chu Kang,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,PAP team,GAN KIM YONG;LOW YEN LING;YEE CHIA HSING;ZAQY MOHAMAD,PAP,4,119931,110325,2949,113274,94.45,55163,0,first,,,PAP team,GAN KIM YONG;LOW YEN LING;YEE CHIA HSING;ZAQY MOHAMAD,PAP,84850,GRC,official
Chua Chu Kang,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,PAP team,GAN KIM YONG;LOW YEN LING;YEE CHIA HSING;ZAQY MOHAMAD,PAP,4,119931,110325,2949,113274,94.45,55163,0,first,,,PPP team,GOH MENG SENG;LEE TZE SHIH;LOW WAI CHOO;SYAFARIN BIN SARIF,PPP,25475,GRC,official
Chua Chu Kang,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,PAP team,GAN KIM YONG;LOW YEN LING;YEE CHIA HSING;ZAQY MOHAMAD,PAP,4,119931,110325,2949,113274,94.45,55163,1,final,,,PAP team,GAN KIM YONG;LOW YEN LING;YEE CHIA HSING;ZAQY MOHAMAD,PAP,84850,GRC,official
Chua Chu Kang,https://www.eld.gov.sg/elections_past_parliamentary2015.html,https://www.eld.gov.sg/gazette_2015.html,PAP team,GAN KIM YONG;LOW YEN LING;YEE CHIA HSING;ZAQY MOHAMAD,PAP,4,119931,110325,2949,113274,94.45,55163,1,final,,,PPP team,GOH MENG SENG;LEE TZE SHIH;LOW WAI CHOO;SYAFARIN BIN SARIF,PPP,25475,GRC,official
