district,district_url,distribution_url,elected_member,elected_party,elected_members,members_to_elect,quota,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Bass,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/bass/dist-bass-m.html,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",Liberal Party; Liberal Party; Liberal Party; Australian Labor Party; Australian Labor Party,"GUTWEIN, Peter; COURTNEY, Sarah; FERGUSON, Michael; O'BYRNE, Michelle; FINLAY, Janie",5,11226,78182,67352,3544,70896,90.68,3499,"GUTWEIN, Peter",Liberal Party,32482,"COURTNEY, Sarah",Liberal Party,11226,"FERGUSON, Michael",Liberal Party,11226,3499,True,8999
Braddon,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/braddon/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/braddon/dist-braddon-m.html,"ROCKLIFF, Jeremy; DOW, Anita; BROAD, Shane; JAENSCH, Roger; BROOKS, Adam",Liberal Party; Australian Labor Party; Australian Labor Party; Liberal Party; Liberal Party,"ROCKLIFF, Jeremy; DOW, Anita; BROAD, Shane; JAENSCH, Roger; BROOKS, Adam",5,11661,81211,69961,3963,73924,91.03,312,"ROCKLIFF, Jeremy",Liberal Party,19186,"ROCKLIFF, Jeremy",Liberal Party,11661,"BROAD, Shane",Australian Labor Party,11661,312,True,-7525
Clark,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/clark/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/clark/dist-clark-m.html,"O'CONNOR, Cassy; ARCHER, Elise; HADDAD, Ella; OGILVIE, Madeleine; JOHNSTON, Kristie",Tasmanian Greens; Liberal Party; Australian Labor Party; Liberal Party; Independent,"O'CONNOR, Cassy; ARCHER, Elise; HADDAD, Ella; OGILVIE, Madeleine; JOHNSTON, Kristie",5,10626,73998,63753,3378,67131,90.72,1254,"O'CONNOR, Cassy",Tasmanian Greens,9469,"ARCHER, Elise",Liberal Party,10626,"HADDAD, Ella",Australian Labor Party,10626,1254,True,1224
Franklin,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/franklin/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/franklin/dist-franklin-m.html,"PETRUSMA, Jacquie; WOODRUFF, Rosalie; WINTER, Dean; O'BYRNE, David; STREET, Nic",Liberal Party; Tasmanian Greens; Australian Labor Party; Australian Labor Party; Liberal Party,"PETRUSMA, Jacquie; WOODRUFF, Rosalie; WINTER, Dean; O'BYRNE, David; STREET, Nic",5,11544,78130,69258,3031,72289,92.52,4165,"PETRUSMA, Jacquie",Liberal Party,14550,"WINTER, Dean",Australian Labor Party,12891,"O'BYRNE, David",Australian Labor Party,12600,4165,False,5032
Lyons,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/lyons/index.html,https://www.tec.tas.gov.au/house-of-assembly/StateElection2021/results/lyons/dist-lyons-m.html,"WHITE, Rebecca; BARNETT, Guy; SHELTON, Mark; BUTLER, Jen; TUCKER, John",Australian Labor Party; Liberal Party; Liberal Party; Australian Labor Party; Liberal Party,"WHITE, Rebecca; BARNETT, Guy; SHELTON, Mark; BUTLER, Jen; TUCKER, John",5,11838,82911,71026,4539,75565,91.14,4244,"WHITE, Rebecca",Australian Labor Party,16338,"TUCKER, John",Liberal Party,13405,"BARNETT, Guy",Liberal Party,11838,4244,True,8786
