district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,primary_leader,primary_leader_party,primary_leader_votes,winner,winner_party,winner_final_votes,runner_up,runner_up_party,runner_up_final_votes,final_margin,preference_changed_result,winner_transfer_gain
Albert Park,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultalbertparkdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionalbertparkdistrict.html,"THWAITES, John",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,43926,36025,1630,37655,85.72,,"THWAITES, John",ALP,14787,"THWAITES, John",ALP,21502,"SMITH, Clive",Liberal,14523,6979,False,6715
Altona,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultaltonadistrict.html,,"KOSKY, Lynne",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,41888,36846,2398,39244,93.69,,"KOSKY, Lynne",ALP,22332,"KOSKY, Lynne",ALP,25869,"SOYLEMEZ, Ian",Liberal,10974,14895,False,3537
Ballarat East,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultballarateastdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionballarateastdistrict.html,"HOWARD, Geoff",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,37648,33279,1328,34607,91.92,,"HOWARD, Geoff",ALP,14292,"HOWARD, Geoff",ALP,18850,"HAYES, Geoff",Liberal,14429,4421,False,4558
Ballarat West,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultballaratwestdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionballaratwestdistrict.html,"OVERINGTON, Karen",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,41283,36704,1395,38099,92.29,,"OVERINGTON, Karen",ALP,17292,"OVERINGTON, Karen",ALP,20751,"BRENNAN, Shane",Liberal,15953,4798,False,3459
Bass,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultbassdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionbassdistrict.html,"SMITH, Ken",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,39847,35769,1705,37474,94.04,,"SMITH, Ken",Liberal,16584,"SMITH, Ken",Liberal,18634,"ANDERSON, John",ALP,13349,5285,False,2050
Bayswater,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultbayswaterdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionbayswaterdistrict.html,"VICTORIA, Heidi",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,36321,32029,1955,33984,93.57,,"VICTORIA, Heidi",Liberal,13162,"VICTORIA, Heidi",Liberal,16941,"LOCKWOOD, Peter",ALP,15088,1853,False,3779
Bellarine,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultbellarinedistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionbellarinedistrict.html,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,40888,37150,1354,38504,94.17,,"NEVILLE, Lisa",ALP,18014,"NEVILLE, Lisa",ALP,21528,"GIBSON, Don",Liberal,15622,5906,False,3514
Benalla,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultbenalladistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionbenalladistrict.html,"SYKES, Bill",NATIONAL PARTY OF AUSTRALIA - VICTORIA,35788,32124,1211,33335,93.15,,"SYKES, Bill",Nationals,13533,"SYKES, Bill",Nationals,21687,"MITCHELL, Rob",ALP,10437,11250,False,8154
Benambra,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultbenambradistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionbenambradistrict.html,"TILLEY, Bill",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,35224,31420,1083,32503,92.28,,"TILLEY, Bill",Liberal,12135,"TILLEY, Bill",Liberal,18132,"MAHOOD, Lisa",ALP,13288,4844,False,5997
Bendigo East,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006resultbendigoeastdistrict.html,https://itsitecoreblobvecprd01.blob.core.windows.net/public-files/historical-results/state2006/state2006distributionbendigoeastdistrict.html,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,38000,34318,1413,35627,93.76,,"ALLAN, Jacinta",ALP,16079,"ALLAN, Jacinta",ALP,19009,"GIBBINS, Kevin",Liberal,15309,3700,False,2930
