district,district_url,distribution_url,elected_member,elected_party,enrolment,formal_votes,informal_votes,total_votes,turnout_pct,majority,round_number,row_type,excluded_candidate,excluded_party,candidate,candidate_party,votes,electorate_type,constituency_code,contest_status,result_note
Glasgow,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Yes,Yes,486296,364126,538,364664,74.99,25432,0,first,,,Yes,Yes,194779,Council area,S12000046,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Glasgow,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,Yes,Yes,486296,364126,538,364664,74.99,25432,0,first,,,No,No,169347,Council area,S12000046,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Highland,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,190787,165808,168,165976,87.0,9670,0,first,,,No,No,87739,Council area,S12000017,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Highland,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,190787,165808,168,165976,87.0,9670,0,first,,,Yes,Yes,78069,Council area,S12000017,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Inverclyde,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,62486,54572,29,54601,87.38,86,0,first,,,No,No,27329,Council area,S12000018,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Inverclyde,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,62486,54572,29,54601,87.38,86,0,first,,,Yes,Yes,27243,Council area,S12000018,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Midlothian,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,69620,60342,53,60395,86.75,7602,0,first,,,No,No,33972,Council area,S12000019,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Midlothian,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,69620,60342,53,60395,86.75,7602,0,first,,,Yes,Yes,26370,Council area,S12000019,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Moray,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,75173,64167,38,64205,85.41,9703,0,first,,,No,No,36935,Council area,S12000020,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
Moray,https://www.electoralcommission.org.uk/research-reports-and-data/our-reports-and-data-past-elections-and-referendums/report-scottish-independence-referendum,https://www.data.gov.uk/dataset/759f6fcb-934a-464e-a45c-eced2f5fcf67/local-authority-districts-december-2016-full-clipped-boundaries-in-the-uk-wgs842,No,No,75173,64167,38,64205,85.41,9703,0,first,,,Yes,Yes,27232,Council area,S12000020,official,Official Electoral Commission appendix result; electorate reconciles to the Chief Counting Officer's national total.
